Group,Taxon,Country,Prov_State,District,LocationName,LocationRemarks,Latitude,Longitude,UTMZone,UTMNorthing,UTMEasting,Collector/Observer,Date,CatalogueNumber,HabitatRemarks,Substrate,ObservationNotes,SpecimenNotes,CuratorRemarks,GeoreferencingRemarks,Source
BRYOPHYTES,Aulacomnium palustre,Canada,British Columbia,Gulf Islands,Valdes Island,Cladina meadows,49.047231,-123.613556,,,,"Andrew Simon, Harvey Janszen, John Reynolds",2017,,terrestrial herbaceous community,terricolous,"Inventory work conducted by Andrew Simon, John Reynolds and Harvey Janszen in partnership with Valdes Island Conservancy and Lyackson First Nation; Survey Dates: June 24 2017, July 28 2017, & September 5 2017",,,coordinates generalized,Andrew Simon - 2017–2018 Valdes Island Species Inventory
BRYOPHYTES,Bucklandiella heterosticha,Canada,British Columbia,Gulf Islands,Valdes Island,Cladina meadows,49.047231,-123.613556,,,,"Andrew Simon, Harvey Janszen, John Reynolds",2017,,terrestrial herbaceous community,saxicolous,"Inventory work conducted by Andrew Simon, John Reynolds and Harvey Janszen in partnership with Valdes Island Conservancy and Lyackson First Nation; Survey Dates: June 24 2017, July 28 2017, & September 5 2017",,,coordinates generalized,Andrew Simon - 2017–2018 Valdes Island Species Inventory
BRYOPHYTES,Dicranum howellii,Canada,British Columbia,Gulf Islands,Valdes Island,Cladina meadows,49.047231,-123.613556,,,,"Andrew Simon, Harvey Janszen, John Reynolds",2017,,terrestrial herbaceous community,terricolous and lignicolous over forest litter,"Inventory work conducted by Andrew Simon, John Reynolds and Harvey Janszen in partnership with Valdes Island Conservancy and Lyackson First Nation; Survey Dates: June 24 2017, July 28 2017, & September 5 2017",,,coordinates generalized,Andrew Simon - 2017–2018 Valdes Island Species Inventory
BRYOPHYTES,Dicranum scoparium,Canada,British Columbia,Gulf Islands,Valdes Island,Cladina meadows,49.047231,-123.613556,,,,"Andrew Simon, Harvey Janszen, John Reynolds",2017,,terrestrial herbaceous community,terricolous,"Inventory work conducted by Andrew Simon, John Reynolds and Harvey Janszen in partnership with Valdes Island Conservancy and Lyackson First Nation; Survey Dates: June 24 2017, July 28 2017, & September 5 2017",,,coordinates generalized,Andrew Simon - 2017–2018 Valdes Island Species Inventory
BRYOPHYTES,Stereodon subimponens,Canada,British Columbia,Gulf Islands,Valdes Island,Cladina meadows,49.047231,-123.613556,,,,"Andrew Simon, Harvey Janszen, John Reynolds",2017,,terrestrial herbaceous community,terricolous,"Inventory work conducted by Andrew Simon, John Reynolds and Harvey Janszen in partnership with Valdes Island Conservancy and Lyackson First Nation; Survey Dates: June 24 2017, July 28 2017, & September 5 2017",,,coordinates generalized,Andrew Simon - 2017–2018 Valdes Island Species Inventory
BRYOPHYTES,Racomitrium elongatum,Canada,British Columbia,Gulf Islands,Valdes Island,Cladina meadows,49.047231,-123.613556,,,,"Andrew Simon, Harvey Janszen, John Reynolds",2017,,terrestrial herbaceous community,terricolous,"Inventory work conducted by Andrew Simon, John Reynolds and Harvey Janszen in partnership with Valdes Island Conservancy and Lyackson First Nation; Survey Dates: June 24 2017, July 28 2017, & September 5 2017",,,coordinates generalized,Andrew Simon - 2017–2018 Valdes Island Species Inventory
BRYOPHYTES,Pleurozium schreberi,Canada,British Columbia,Gulf Islands,Valdes Island,Cladina meadows,49.047231,-123.613556,,,,"Andrew Simon, Harvey Janszen, John Reynolds",2017,,terrestrial herbaceous community,terricolous,"Inventory work conducted by Andrew Simon, John Reynolds and Harvey Janszen in partnership with Valdes Island Conservancy and Lyackson First Nation; Survey Dates: June 24 2017, July 28 2017, & September 5 2017",,,coordinates generalized,Andrew Simon - 2017–2018 Valdes Island Species Inventory
FERNS & ALLIES,Aspidotis densa,Canada,British Columbia,Gulf Islands,Valdes Island,Cladina meadows,49.047231,-123.613556,,,,"Andrew Simon, Harvey Janszen, John Reynolds",2017,,terrestrial herbaceous community,,"Inventory work conducted by Andrew Simon, John Reynolds and Harvey Janszen in partnership with Valdes Island Conservancy and Lyackson First Nation; Survey Dates: June 24 2017, July 28 2017, & September 5 2017",,,coordinates generalized,Andrew Simon - 2017–2018 Valdes Island Species Inventory
FERNS & ALLIES,Selaginella wallacei,Canada,British Columbia,Gulf Islands,Valdes Island,Cladina meadows,49.047231,-123.613556,,,,"Andrew Simon, Harvey Janszen, John Reynolds",2017,,terrestrial herbaceous community,,"Inventory work conducted by Andrew Simon, John Reynolds and Harvey Janszen in partnership with Valdes Island Conservancy and Lyackson First Nation; Survey Dates: June 24 2017, July 28 2017, & September 5 2017",,,coordinates generalized,Andrew Simon - 2017–2018 Valdes Island Species Inventory
LICHENS,Cladonia rangiferina ,Canada,British Columbia,Gulf Islands,Valdes Island,Cladina meadows,49.045556,-123.613511,,,,"Andrew Simon, Harvey Janszen, John Reynolds",2017,,terrestrial herbaceous community,terricolous,"Inventory work conducted by Andrew Simon, John Reynolds and Harvey Janszen in partnership with Valdes Island Conservancy and Lyackson First Nation; Survey Dates: June 24 2017, July 28 2017, & September 5 2017",,,coordinates generalized,Andrew Simon - 2017–2018 Valdes Island Species Inventory
LICHENS,Cladonia wainioi,Canada,British Columbia,Gulf Islands,Valdes Island,Cladina meadows,49.045556,-123.613511,,,,"Andrew Simon, Harvey Janszen, John Reynolds",2017,,terrestrial herbaceous community,terricolous,"Inventory work conducted by Andrew Simon, John Reynolds and Harvey Janszen in partnership with Valdes Island Conservancy and Lyackson First Nation; Survey Dates: June 24 2017, July 28 2017, & September 5 2017",,,coordinates generalized,Andrew Simon - 2017–2018 Valdes Island Species Inventory
LICHENS,Peltigera britannica,Canada,British Columbia,Gulf Islands,Valdes Island,Cladina meadows,49.047231,-123.613556,,,,"Andrew Simon, Harvey Janszen, John Reynolds",2017,,terrestrial herbaceous community,terricolous,"Inventory work conducted by Andrew Simon, John Reynolds and Harvey Janszen in partnership with Valdes Island Conservancy and Lyackson First Nation; Survey Dates: June 24 2017, July 28 2017, & September 5 2017",,,coordinates generalized,Andrew Simon - 2017–2018 Valdes Island Species Inventory
LICHENS,Peltigera hymenina,Canada,British Columbia,Gulf Islands,Valdes Island,Cladina meadows,49.047231,-123.613556,,,,"Andrew Simon, Harvey Janszen, John Reynolds",2017,,terrestrial herbaceous community,muscicolous,"Inventory work conducted by Andrew Simon, John Reynolds and Harvey Janszen in partnership with Valdes Island Conservancy and Lyackson First Nation; Survey Dates: June 24 2017, July 28 2017, & September 5 2017",,,coordinates generalized,Andrew Simon - 2017–2018 Valdes Island Species Inventory
