"","OccurrenceID","GUID","Herbarium","Collection","Dataset","Accession","Catalog","Barcode","Other.Catalog.Numbers","Information.Withheld","Basis.of.Record","Family","Accepted.Name","Scientific.Name","Notho.Genus","Genus","Notho.Species","Specific.Epithet","Specific.Authors","Infraspecific.Rank","Notho.Infraspecies","Infraspecific.Epithet","Infraspecific.Authors","Hybrid.Symbol","X2nd.Notho.Genus","X2nd.Genus","X2nd.Notho.Species","X2nd.Specific.Epithet","X2nd.Specific.Authors","X2nd.Infraspecific.Rank","X2nd.Notho.Infraspecies","X2nd.Infraspecific.Epithet","X2nd.Infraspecific.Authors","Cultivar","Name.Qualifier","Qualifier.Position","Type.Specimen.","Type.Status","Specimen.Notes","Phenology","Origin","Cultivated.","Imaged.","Site.Number","Collector","Collector.Number","Other.Collectors","Day.Collected","Month.Collected","Year.Collected","Verbatim.Collection.Date","Country","State.or.Province","County","Locality","Site.Description","Verbatim.Elevation","Minimum.Elevation.in.Meters","Maximum.Elevation.in.Meters","Verbatim.Coordinates","Decimal.Latitude","Decimal.Longitude","Valid.LatLng","Geodetic.Datum","Coordinate.Uncertainty.in.Meters","Georeferenced.By","Georeference.Sources","Georeference.Remarks"
"1",3510459,"","UBC","Vascular Plants",NA,"V250835","","","","","PreservedSpecimen","Ranunculaceae","Helleborus foetidus","Helleborus foetidus",NA,"Helleborus","","foetidus",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Numerous immature plants (2-3 years and 12-15 inches high) scattered throughout, signs of decomposing mature plants from previous years and an uncountable cohort of closely packed seedlings; no flowering or fruiting plants; more than 1 km away from nearest garden, arising from garden refuse.","","","N","Y",NA,"Terry Ludwar","s.n.","John Dove",15,8,2019,"2019 Aug 15","Canada","British Columbia","","Texada Island, just east of Blubber Bay Road (to Blubber Bay ferry terminal), about 1 km from Van Anda.","Thuja plicata,ï¿½Pseudotsuga menziesii,ï¿½Juniperus maritima, andï¿½Cornus stolonifera forest, in limestone outcrop opening in full sun, with Mahonia nervosa, Gaultheria shallon, Polystichum munitum, Digitalis purpurea, Mycelis muralis.","37 m",37,NA,"","49.761054",-124.575247,"Y","","","","",""
"2",1171321,"","UBC","Vascular Plants",NA,"V240394","","","","","PreservedSpecimen","Thymelaeaceae","Daphne mezereum","Daphne mezereum",NA,"Daphne","","mezereum",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Shrub with lots of red fruit packed close to stem below leafy tops; 20+ plants, well established.","","","N","Y",NA,"Frank Lomer","8012","",7,7,2012,"2012 Jul 07","Canada","British Columbia","","Texada Island, Gillies Bay Road, east side, south of junction with Beale Cove Road.","Roadside clearing strip, with Mahonia aquifolium.","145 m",145,NA,"","49.736944",-124.558056,"Y","","","","",""
"3",1171322,"","UBC","Vascular Plants",NA,"V240395","","","","","PreservedSpecimen","Poaceae","","Elymus glaucus  glaucus",NA,"Elymus","","glaucus",NA,"",NA,"glaucus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Spikes branching in the middle of the inflorescent spike, awns to 3 cm, anthers 1.5€“2.5 mm.","","","N","Y",NA,"Frank Lomer","8013","",8,7,2012,"2012 Jul 08","Canada","British Columbia","","[Locality and coordinates withheld]","Sea beach in driftwood zone with Leymus mollis.","1 m",1,NA,"","",NA,"","","","","",""
"4",1171323,"","UBC","Vascular Plants",NA,"V240396","","","","","PreservedSpecimen","Rosaceae","Cotoneaster dammeri","Cotoneaster dammeri",NA,"Cotoneaster","","dammeri",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Several prostrate plants, some with persistent red fruit.","","","N","Y",NA,"Frank Lomer","8014","",8,7,2012,"2012 Jul 08","Canada","British Columbia","","Texada Island, Gillies Bay, Sanderson Road and Gillies Bay Road.","Ditchbank adjacent to vacant lot and spreading into gravel roadside shoulder as a mat.","20 m",20,NA,"","49.68125",-124.485,"Y","","","","",""
"5",1171324,"","UBC","Vascular Plants",NA,"V240397","","","","","PreservedSpecimen","Polygonaceae","Polygonum achoreum","Polygonum achoreum",NA,"Polygonum","","achoreum",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Frequent on the islands, preferring saline rocky habitats.","","","N","Y",NA,"Frank Lomer","8015","",8,7,2012,"2012 Jul 08","Canada","British Columbia","","Texada Island, Mouat Bay, Mouat Islands, northern group, on middle islands.","Bare rock in the salt-spray zone, with Puccinellia sp.","1 m",1,NA,"","49.639333",-124.471944,"Y","","","","",""
"6",1171325,"","UBC","Vascular Plants",NA,"V240398","","","","[locality and coordinates withheld; status in British Columbia: S2S3 (Rare, Blue List; BCCDC)]","PreservedSpecimen","Amaryllidaceae","Allium geyeri var. tenerum","Allium geyeri var. tenerum",NA,"Allium","","geyeri",NA,"var.",NA,"tenerum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Senescent plants with bulbils at the stem top that easily drop off; same site as Janszen 2883.","","","N","Y",NA,"Frank Lomer","8016","",8,7,2012,"2012 Jul 08","Canada","British Columbia","","[Locality and coordinates withheld]","Rocky salt-spray pool with Hordeum brachyantherum, Schoenoplectus acutus; in mucky accumulations among lichen encrusted rock.","1 m",1,NA,"","",NA,"","","","","",""
"7",1171326,"","UBC","Vascular Plants",NA,"V240399","","","","[locality and coordinates withheld; status in British Columbia: S3 (Rare, Blue List; BCCDC)]","PreservedSpecimen","Amaryllidaceae","Allium amplectens","Allium amplectens",NA,"Allium","","amplectens",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Forming small swards near the pool; few Allium geyeri among them.","","","N","Y",NA,"Frank Lomer","8017","",8,7,2012,"2012 Jul 08","Canada","British Columbia","","[Locality and coordinates withheld]","Rocky salt-spray pool with Hordeum brachyantherum, Schoenoplectus acutus; in mucky accumulations among lichen encrusted rock.","1 m",1,NA,"","",NA,"","","","","",""
"8",1171327,"","UBC","Vascular Plants",NA,"V240400","","","","","PreservedSpecimen","Poaceae","Agrostis exarata","Agrostis exarata",NA,"Agrostis","","exarata",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Palea 0.3 mm, lemma awns to 4 mm, anthers 0.3 mm, glumes with awn-like tips to 1 mm, glumes 3 mm.","","","N","Y",NA,"Frank Lomer","8018","",8,7,2012,"2012 Jul 08","Canada","British Columbia","","Texada Island, Mouat Bay, Mouat Islands, southern-most of northern group.","Salt-spray pool with Hordeum brachyantherum, Schoenoplectus acutus; in mucky saline vernal pool with Juncus bufonius, Mimulus gutatus.","1 m",1,NA,"","49.637639",-124.466667,"Y","","","","",""
"9",1171328,"","UBC","Vascular Plants",NA,"V240401","","","","","PreservedSpecimen","Caryophyllaceae","","Spergularia macrotheca  macrotheca",NA,"Spergularia","","macrotheca",NA,"",NA,"macrotheca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Seeds appearing smooth, wingless; scattered plants, seems scarce.","","","N","Y",NA,"Frank Lomer","8020","",8,7,2012,"2012 Jul 08","Canada","British Columbia","","[Locality and coordinates withheld]","Seaside rocks in crevices near salt-spray zone.","1 m",1,NA,"","",NA,"","","","","",""
"10",1171329,"","UBC","Vascular Plants",NA,"V240402","","","","","PreservedSpecimen","Polygonaceae","Polygonum achoreum","Polygonum achoreum",NA,"Polygonum","","achoreum",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","N",NA,"Leaves and stem quite tough.","","","N","Y",NA,"Frank Lomer","8021","",8,7,2012,"2012 Jul 08","Canada","British Columbia","","Texada Island, Mouat Bay, Mouat Islands, southern-most islands.","Seaside rocks in crevices near salt-spray zone, with Atriplex dioica, Solanum villosum(?)","1 m",1,NA,"","49.631806",-124.45,"Y","","","","",""
