site,class,date,quadrant,transect_unit,species_code,species_name,percent_cover,height_cm,notes
s001,Closed-Dry,2022-06-21,E,1,Berner,Berberis nervosa,1,,
s001,Closed-Dry,2022-06-21,E,1,Gausha,Gaultheria shallon,85,85,
s001,Closed-Dry,2022-06-21,E,1,Kinore,Kindbergia oregana,25,,
s001,Closed-Dry,2022-06-21,E,2,Berner,Berberis nervosa,5,,
s001,Closed-Dry,2022-06-21,E,2,Gausha,Gaultheria shallon,90,140,
s001,Closed-Dry,2022-06-21,E,2,Kinore,Kindbergia oregana,17,,
s001,Closed-Dry,2022-06-21,E,2,Pteaqu,Pteridium aquilinum,3,,
s001,Closed-Dry,2022-06-21,E,3,Gausha,Gaultheria shallon,95,140,
s001,Closed-Dry,2022-06-21,E,3,Kinore,Kindbergia oregana,10,,
s001,Closed-Dry,2022-06-21,E,4,Gausha,Gaultheria shallon,90,110,
s001,Closed-Dry,2022-06-21,E,4,Kinore,Kindbergia oregana,5,,
s001,Closed-Dry,2022-06-21,E,5,Gausha,Gaultheria shallon,85,110,
s001,Closed-Dry,2022-06-21,E,5,Kinore,Kindbergia oregana,5,,
s001,Closed-Dry,2022-06-21,N,1,Gausha,Gaultheria shallon,80,14,"recovering W. hemlock, significant salal groundcover"
s001,Closed-Dry,2022-06-21,N,1,Kinore,Kindbergia oregana,13.7,,
s001,Closed-Dry,2022-06-21,N,1,Tsuhet,Tsuga heterophylla,10,,
s001,Closed-Dry,2022-06-21,N,2,Gausha,Gaultheria shallon,65,130,
s001,Closed-Dry,2022-06-21,N,2,Kinore,Kindbergia oregana,15,,
s001,Closed-Dry,2022-06-21,N,2,Tsuhet,Tsuga heterophylla,40,,
s001,Closed-Dry,2022-06-21,N,3,Gausha,Gaultheria shallon,78,105,
s001,Closed-Dry,2022-06-21,N,3,Kinore,Kindbergia oregana,15,,
s001,Closed-Dry,2022-06-21,N,3,Tsuhet,Tsuga heterophylla,12,,
s001,Closed-Dry,2022-06-21,N,4,Berner,Berberis nervosa,3,,
s001,Closed-Dry,2022-06-21,N,4,Gausha,Gaultheria shallon,95,110,
s001,Closed-Dry,2022-06-21,N,4,Kinore,Kindbergia oregana,15,,
s001,Closed-Dry,2022-06-21,N,5,Gausha,Gaultheria shallon,90,100,
s001,Closed-Dry,2022-06-21,N,5,Isosto,Isothecium stoloniferum,0.5,,
s001,Closed-Dry,2022-06-21,N,5,Kinore,Kindbergia oregana,7,,
s001,Closed-Dry,2022-06-21,S,1,Gausha,Gaultheria shallon,95,110,
s001,Closed-Dry,2022-06-21,S,1,Kinore,Kindbergia oregana,2,,
s001,Closed-Dry,2022-06-21,S,1,Pteaqu,Pteridium aquilinum,5,,
s001,Closed-Dry,2022-06-21,S,2,Berner,Berberis nervosa,0.5,,
s001,Closed-Dry,2022-06-21,S,2,Gausha,Gaultheria shallon,80,115,
s001,Closed-Dry,2022-06-21,S,2,Kinore,Kindbergia oregana,20,,
s001,Closed-Dry,2022-06-21,S,2,Pteaqu,Pteridium aquilinum,1,,
s001,Closed-Dry,2022-06-21,S,3,Gausha,Gaultheria shallon,80,100,
s001,Closed-Dry,2022-06-21,S,3,Kinore,Kindbergia oregana,10,,
s001,Closed-Dry,2022-06-21,S,3,Pteaqu,Pteridium aquilinum,5,,
s001,Closed-Dry,2022-06-21,S,4,Gausha,Gaultheria shallon,75,125,
s001,Closed-Dry,2022-06-21,S,4,Kinore,Kindbergia oregana,15,,
s001,Closed-Dry,2022-06-21,S,4,Pteaqu,Pteridium aquilinum,5,,
s001,Closed-Dry,2022-06-21,S,5,Gausha,Gaultheria shallon,75,100,
s001,Closed-Dry,2022-06-21,S,5,Kinore,Kindbergia oregana,5,,
s001,Closed-Dry,2022-06-21,S,5,Pteaqu,Pteridium aquilinum,8,,
s001,Closed-Dry,2022-06-21,W,1,Gausha,Gaultheria shallon,95,100,
s001,Closed-Dry,2022-06-21,W,1,Kinore,Kindbergia oregana,2,,
s001,Closed-Dry,2022-06-21,W,2,Berner,Berberis nervosa,5,,
s001,Closed-Dry,2022-06-21,W,2,Bucund,Buckiella undulata,0.5,,
s001,Closed-Dry,2022-06-21,W,2,Gausha,Gaultheria shallon,60,110,
s001,Closed-Dry,2022-06-21,W,2,Kinore,Kindbergia oregana,10,,
s001,Closed-Dry,2022-06-21,W,2,Pteaqu,Pteridium aquilinum,3,,
s001,Closed-Dry,2022-06-21,W,3,Gausha,Gaultheria shallon,95,110,
s001,Closed-Dry,2022-06-21,W,3,Kinore,Kindbergia oregana,10,,
s001,Closed-Dry,2022-06-21,W,4,Gausha,Gaultheria shallon,85,120,
s001,Closed-Dry,2022-06-21,W,4,Kinore,Kindbergia oregana,4,,
s001,Closed-Dry,2022-06-21,W,5,Berner,Berberis nervosa,0.5,,
s001,Closed-Dry,2022-06-21,W,5,Gausha,Gaultheria shallon,80,130,
s001,Closed-Dry,2022-06-21,W,5,Pteaqu,Pteridium aquilinum,0.5,,
s003,Closed-Dry,2022-06-20,E,1,Gausha,Gaultheria shallon,3,20,
s003,Closed-Dry,2022-06-20,E,1,Kinore,Kindbergia oregana,15,,
s003,Closed-Dry,2022-06-20,E,2,Gausha,Gaultheria shallon,20,90,
s003,Closed-Dry,2022-06-20,E,2,Kinore,Kindbergia oregana,15,,
s003,Closed-Dry,2022-06-20,E,3,Gausha,Gaultheria shallon,10,65,
s003,Closed-Dry,2022-06-20,E,3,Kinore,Kindbergia oregana,15,,
s003,Closed-Dry,2022-06-20,E,4,Gausha,Gaultheria shallon,15,65,
s003,Closed-Dry,2022-06-20,E,4,Kinore,Kindbergia oregana,40,,
s003,Closed-Dry,2022-06-20,E,5,Gausha,Gaultheria shallon,8,80,
s003,Closed-Dry,2022-06-20,E,5,Hypcir,Hypnum circinale,0.5,,
s003,Closed-Dry,2022-06-20,E,5,Kinore,Kindbergia oregana,50,,
s003,Closed-Dry,2022-06-20,N,1,Gausha,Gaultheria shallon,30,75,shade effect of cedar and Douglas-fir at centroid
s003,Closed-Dry,2022-06-20,N,1,Isosto,Isothecium stoloniferum,0.5,,
s003,Closed-Dry,2022-06-20,N,1,Kinore,Kindbergia oregana,15,,
s003,Closed-Dry,2022-06-20,N,1,Linbor,Linnaea borealis,0.5,,
s003,Closed-Dry,2022-06-20,N,1,Lyslat,Lysimachia latifolia,0.5,,
s003,Closed-Dry,2022-06-20,N,2,Gausha,Gaultheria shallon,15,45,
s003,Closed-Dry,2022-06-20,N,2,Kinore,Kindbergia oregana,35,,
s003,Closed-Dry,2022-06-20,N,3,Gausha,Gaultheria shallon,2,25,
s003,Closed-Dry,2022-06-20,N,3,Isosto,Isothecium stoloniferum,0.5,,
s003,Closed-Dry,2022-06-20,N,3,Kinore,Kindbergia oregana,5,,
s003,Closed-Dry,2022-06-20,N,4,Kinore,Kindbergia oregana,0.5,,
s003,Closed-Dry,2022-06-20,N,5,Hypcir,Hypnum circinale,0.5,,
s003,Closed-Dry,2022-06-20,N,5,Kinore,Kindbergia oregana,1,,
s003,Closed-Dry,2022-06-20,S,1,Gausha,Gaultheria shallon,15,60,
s003,Closed-Dry,2022-06-20,S,1,Isosto,Isothecium stoloniferum,0.5,,
s003,Closed-Dry,2022-06-20,S,1,Kinore,Kindbergia oregana,60,,
s003,Closed-Dry,2022-06-20,S,2,Gausha,Gaultheria shallon,15,40,
s003,Closed-Dry,2022-06-20,S,2,Kinore,Kindbergia oregana,80,,
s003,Closed-Dry,2022-06-20,S,3,Gausha,Gaultheria shallon,10,50,
s003,Closed-Dry,2022-06-20,S,3,Kinore,Kindbergia oregana,75,,
s003,Closed-Dry,2022-06-20,S,4,Berner,Berberis nervosa,12,,
s003,Closed-Dry,2022-06-20,S,4,Gausha,Gaultheria shallon,15,60,
s003,Closed-Dry,2022-06-20,S,4,Kinore,Kindbergia oregana,70,,
s003,Closed-Dry,2022-06-20,S,5,Berner,Berberis nervosa,12,,
s003,Closed-Dry,2022-06-20,S,5,Hylspl,Hylocomium splendens,40,,
s003,Closed-Dry,2022-06-20,S,5,Kinore,Kindbergia oregana,40,,
s003,Closed-Dry,2022-06-20,S,5,Neocor,Neottia cordata,0.5,,
s003,Closed-Dry,2022-06-20,W,1,Kinore,Kindbergia oregana,2,,
s003,Closed-Dry,2022-06-20,W,2,Hypcir,Hypnum circinale,2,,
s003,Closed-Dry,2022-06-20,W,2,Kinore,Kindbergia oregana,3,,
s003,Closed-Dry,2022-06-20,W,3,Gausha,Gaultheria shallon,0.5,25,
s003,Closed-Dry,2022-06-20,W,3,Kinore,Kindbergia oregana,5,,
s003,Closed-Dry,2022-06-20,W,3,Scabol,Scapania bolanderi,2,,
s003,Closed-Dry,2022-06-20,W,4,Berner,Berberis nervosa,1,,
s003,Closed-Dry,2022-06-20,W,4,Gausha,Gaultheria shallon,0.5,10,
s003,Closed-Dry,2022-06-20,W,4,Hypcir,Hypnum circinale,0.5,,
s003,Closed-Dry,2022-06-20,W,4,Kinore,Kindbergia oregana,0.5,,
s003,Closed-Dry,2022-06-20,W,4,Scabol,Scapania bolanderi,0.5,,
s003,Closed-Dry,2022-06-20,W,5,Gausha,Gaultheria shallon,2,25,
s003,Closed-Dry,2022-06-20,W,5,Kinore,Kindbergia oregana,30,,
s005,Closed-Dry,2022-06-20,E,1,Gausha,Gaultheria shallon,35,75,
s005,Closed-Dry,2022-06-20,E,1,Kinore,Kindbergia oregana,0.5,,
s005,Closed-Dry,2022-06-20,E,1,Linbor,Linnaea borealis,2,,
s005,Closed-Dry,2022-06-20,E,1,Lyslat,Lysimachia latifolia,0.5,,
s005,Closed-Dry,2022-06-20,E,2,Gausha,Gaultheria shallon,30,100,
s005,Closed-Dry,2022-06-20,E,2,Kinore,Kindbergia oregana,5,,
s005,Closed-Dry,2022-06-20,E,2,Latnev,Lathyrus nevadensis,0.5,,
s005,Closed-Dry,2022-06-20,E,2,Linbor,Linnaea borealis,1,,
s005,Closed-Dry,2022-06-20,E,3,Berner,Berberis nervosa,2,,
s005,Closed-Dry,2022-06-20,E,3,Gausha,Gaultheria shallon,10,40,
s005,Closed-Dry,2022-06-20,E,3,Kinore,Kindbergia oregana,2,,
s005,Closed-Dry,2022-06-20,E,3,Lyslat,Lysimachia latifolia,1,,
s005,Closed-Dry,2022-06-20,E,4,Berner,Berberis nervosa,4,,
s005,Closed-Dry,2022-06-20,E,4,Gausha,Gaultheria shallon,2,25,
s005,Closed-Dry,2022-06-20,E,4,Kinore,Kindbergia oregana,1,,
s005,Closed-Dry,2022-06-20,E,5,Gausha,Gaultheria shallon,0.5,25,
s005,Closed-Dry,2022-06-20,E,5,Isosto,Isothecium stoloniferum,0.5,,
s005,Closed-Dry,2022-06-20,E,5,Kinore,Kindbergia oregana,0.5,,
s005,Closed-Dry,2022-06-20,N,1,Berner,Berberis nervosa,20,,
s005,Closed-Dry,2022-06-20,N,1,Gausha,Gaultheria shallon,35,75,macrotopic depression to the south (Gallium triflorum)
s005,Closed-Dry,2022-06-20,N,1,Kinore,Kindbergia oregana,10,,
s005,Closed-Dry,2022-06-20,N,1,Lyslat,Lysimachia latifolia,1,,
s005,Closed-Dry,2022-06-20,N,2,Berner,Berberis nervosa,15,,
s005,Closed-Dry,2022-06-20,N,2,Gausha,Gaultheria shallon,10,40,
s005,Closed-Dry,2022-06-20,N,2,Isosto,Isothecium stoloniferum,0.5,,
s005,Closed-Dry,2022-06-20,N,2,Kinore,Kindbergia oregana,25,,
s005,Closed-Dry,2022-06-20,N,3,Berner,Berberis nervosa,0.5,,
s005,Closed-Dry,2022-06-20,N,3,Gausha,Gaultheria shallon,3,40,
s005,Closed-Dry,2022-06-20,N,3,Isosto,Isothecium stoloniferum,1,,
s005,Closed-Dry,2022-06-20,N,3,Kinore,Kindbergia oregana,3,,
s005,Closed-Dry,2022-06-20,N,4,Berner,Berberis nervosa,0.5,,
s005,Closed-Dry,2022-06-20,N,4,Gausha,Gaultheria shallon,1,40,
s005,Closed-Dry,2022-06-20,N,5,Berner,Berberis nervosa,2,,
s005,Closed-Dry,2022-06-20,N,5,Isosto,Isothecium stoloniferum,0.5,,
s005,Closed-Dry,2022-06-20,N,5,Kinore,Kindbergia oregana,1,,
s005,Closed-Dry,2022-06-20,S,1,Isosto,Isothecium stoloniferum,0.5,,
s005,Closed-Dry,2022-06-20,S,2,Berner,Berberis nervosa,2,,
s005,Closed-Dry,2022-06-20,S,2,Isosto,Isothecium stoloniferum,0.5,,
s005,Closed-Dry,2022-06-20,S,2,Kinore,Kindbergia oregana,5,,
s005,Closed-Dry,2022-06-20,S,3,Berner,Berberis nervosa,1,,
s005,Closed-Dry,2022-06-20,S,3,Galapa,Galium aparine,0.5,,
s005,Closed-Dry,2022-06-20,S,3,Gausha,Gaultheria shallon,0.5,25,
s005,Closed-Dry,2022-06-20,S,3,Isosto,Isothecium stoloniferum,0.5,,
s005,Closed-Dry,2022-06-20,S,3,Kinore,Kindbergia oregana,30,,
s005,Closed-Dry,2022-06-20,S,3,Loncil,Lonicera ciliosa,1,,
s005,Closed-Dry,2022-06-20,S,4,Adebic,Adenocaulon bicolor,0.5,,
s005,Closed-Dry,2022-06-20,S,4,Berner,Berberis nervosa,5,,
s005,Closed-Dry,2022-06-20,S,4,Fessub,Festuca subuliflora,0.5,,
s005,Closed-Dry,2022-06-20,S,4,Gausha,Gaultheria shallon,0.5,20,
s005,Closed-Dry,2022-06-20,S,4,Kinore,Kindbergia oregana,18,,
s005,Closed-Dry,2022-06-20,S,4,Latnev,Lathyrus nevadensis,0.5,,
s005,Closed-Dry,2022-06-20,S,4,Lonhis,Lonicera hispidula,0.5,,
s005,Closed-Dry,2022-06-20,S,5,Berner,Berberis nervosa,0.5,,
s005,Closed-Dry,2022-06-20,S,5,Dicfus,Dicranum fuscescens,0.5,,
s005,Closed-Dry,2022-06-20,S,5,Fessub,Festuca subuliflora,0.5,,
s005,Closed-Dry,2022-06-20,S,5,Galtri,Galium triflorum,2,,
s005,Closed-Dry,2022-06-20,S,5,Isosto,Isothecium stoloniferum,2,,
s005,Closed-Dry,2022-06-20,S,5,Kinore,Kindbergia oregana,20,,
s005,Closed-Dry,2022-06-20,S,5,Latnev,Lathyrus nevadensis,0.5,,
s005,Closed-Dry,2022-06-20,S,5,Linbor,Linnaea borealis,1,,
s005,Closed-Dry,2022-06-20,S,5,Lonhis,Lonicera hispidula,0.5,,
s005,Closed-Dry,2022-06-20,S,5,Lyslat,Lysimachia latifolia,0.5,,
s005,Closed-Dry,2022-06-20,S,5,Osmber,Osmorhiza berteroi,0.5,,
s005,Closed-Dry,2022-06-20,W,1,Berner,Berberis nervosa,0.5,,
s005,Closed-Dry,2022-06-20,W,1,Isosto,Isothecium stoloniferum,0.5,,
s005,Closed-Dry,2022-06-20,W,1,Kinore,Kindbergia oregana,0.5,,
s005,Closed-Dry,2022-06-20,W,1,Porcor,Porella cordaeana,0.5,,
s005,Closed-Dry,2022-06-20,W,2,Berner,Berberis nervosa,5,,
s005,Closed-Dry,2022-06-20,W,2,Hypcir,Hypnum circinale,0.5,,
s005,Closed-Dry,2022-06-20,W,2,Isosto,Isothecium stoloniferum,2,,
s005,Closed-Dry,2022-06-20,W,2,Kinore,Kindbergia oregana,5,,
s005,Closed-Dry,2022-06-20,W,2,Loncil,Lonicera ciliosa,0.5,,
s005,Closed-Dry,2022-06-20,W,3,Berner,Berberis nervosa,4,,
s005,Closed-Dry,2022-06-20,W,3,Gausha,Gaultheria shallon,10,55,
s005,Closed-Dry,2022-06-20,W,3,Kinore,Kindbergia oregana,25,,
s005,Closed-Dry,2022-06-20,W,4,Berner,Berberis nervosa,20,,
s005,Closed-Dry,2022-06-20,W,4,Gausha,Gaultheria shallon,12,55,
s005,Closed-Dry,2022-06-20,W,4,Kinore,Kindbergia oregana,60,,
