"scientificName","taxonID","institutionCode","collectionCode","catalogNumber","occurrenceID","materialSampleID","references","recordedBy","recordNumber","gbifID","fieldNumber","eventDate","locality","coordinateUncertaintyInMeters","habitat","verbatimDepth","samplingProtocol","occurrenceRemarks","individualCount","identifiedBy","iNaturalistTaxonId","iNaturalistTaxonName","decimalLatitude","decimalLongitude","dataset"
Achnanthes adnata,1268897,iNaturalist,,192066595,https://www.inaturalist.org/observations/192066595,,,"Mark Webber","WL-Box-08-stb 72",,,2021-07-22,,,,,,,,,1268897,Achnanthes adnata,48.900398,-123.407281,1
Achnanthes adnata,1268897,iNaturalist,,259262293,https://www.inaturalist.org/observations/259262293,,,"Mark Webber","WL-Box-08-stb 72",,,2021-07-22,,,,,,,,,1268897,Achnanthes adnata,48.900564,-123.407693,1
Achnanthes armillaris,1268921,iNaturalist,,191996286,https://www.inaturalist.org/observations/191996286,,,"Mark Webber","WL-Box-000_Zm-stb 3, WL-ZM-LM907-01a",,,2021-03-07,,,,,,,,,1268921,Achnanthes armillaris,48.90062,-123.407822,1
Achnanthes brevipes var. intermedia,345067,iNaturalist,,192250763,https://www.inaturalist.org/observations/192250763,,,"Mark Webber","WL-ZM-LM903-03",,,2020-11-15,,,,,,,,,345067,Achnanthes brevipes intermedia,48.900324,-123.407393,1
Achnanthes elongata,1598953,iNaturalist,,259286427,https://www.inaturalist.org/observations/259286427,,,"Mark Webber","WL-Box-09-stb 17M",,,2021-03-07,,,,,,,,,1598953,Achnanthes elongata,48.900592,-123.407693,1
Achnanthes subconstricta,1100778,iNaturalist,,50191595,https://www.inaturalist.org/observations/50191595,,,"Mark Webber",,,,2010-07-26,,,,,,,,,1100778,Achnanthes subconstricta,48.977591,-123.568719,1
Actinocyclus octonarius,359990,iNaturalist,,141130114,https://www.inaturalist.org/observations/141130114,,,"Mark Webber","WL-SS-LM00010",,,2022-09-26,,,,,,,,,359990,Actinocyclus octonarius,49.019079,-123.544464,1
Actinocyclus tenuissimus,1577960,iNaturalist,,243824378,https://www.inaturalist.org/observations/243824378,,,"Mark Webber","WL-Box 01-stb ????",,,2021-03-07,,,,,,,,,1577960,Actinocyclus tenuissimus,48.900634,-123.407607,1
Actinoptychus adriaticus var. pumila,1499082,iNaturalist,,185626241,https://www.inaturalist.org/observations/185626241,,,"Mark Webber",,,,2022-06-25,,,,,,,,,1499082,Actinoptychus adriaticus pumila,48.956519,-123.575004,1
Actinoptychus senarius,475747,NHMUK,BOT,Diatom BM Adams TS.629,2f49aa51-30c6-4c5c-9309-f944a96f4fbf,,,"Anon.","s.n.",4101627040,s.n.,NA,,,,,,,,,475747,Actinoptychus senarius,49.2,-123.17,
Actinoptychus senarius,475747,,,,MGYA00591159_Eukaryota::Bacillariophyta:Coscinodiscophyceae:Coscinodiscales:Heliopeltaceae:Actinoptychus:Actinoptychus_undulatus,https://www.ebi.ac.uk/metagenomics/samples/SRS966986,,,,3910356907,,2009-05-13,"Saanich Inlet, Vancouver Island, BC",,,,,,,,475747,Actinoptychus senarius,48.6,-123.5,
Actinoptychus senarius,475747,,,,MGYA00591153_Eukaryota::Bacillariophyta:Coscinodiscophyceae:Coscinodiscales:Heliopeltaceae:Actinoptychus:Actinoptychus_undulatus,https://www.ebi.ac.uk/metagenomics/samples/SRS967014,,,,3910355834,,2009-05-13,"Saanich Inlet, Vancouver Island, BC",,,,,,,,475747,Actinoptychus senarius,48.6,-123.5,
Actinoptychus senarius,475747,,,,MGYA00591455_Eukaryota::Bacillariophyta:Coscinodiscophyceae:Coscinodiscales:Heliopeltaceae:Actinoptychus:Actinoptychus_undulatus,https://www.ebi.ac.uk/metagenomics/samples/SRS966769,,,,3910352025,,2009-01-14,"Saanich Inlet, Vancouver Island, BC",,,,,,,,475747,Actinoptychus senarius,48.6,-123.5,
Actinoptychus senarius,475747,iNaturalist,,4874664,https://www.inaturalist.org/observations/4874664,,,"Mark Webber",,,,2010-09-12,,,,,,,,,475747,Actinoptychus senarius,48.994591,-123.585992,1
Actinoptychus senarius,475747,iNaturalist,,5197612,https://www.inaturalist.org/observations/5197612,,,"Mark Webber","WL-SS-LM00080",,,2010-09-12,,,,,,,,,475747,Actinoptychus senarius,48.994163,-123.585384,1
Actinoptychus senarius,475747,iNaturalist,,185619579,https://www.inaturalist.org/observations/185619579,,,"Mark Webber","WL-Box-19-stb 1b",,,2011-01-05,,,,,,,,,475747,Actinoptychus senarius,49.014801,-123.587723,1
Actinoptychus senarius,475747,iNaturalist,,185802527,https://www.inaturalist.org/observations/185802527,,,"Mark Webber",,,,2022-10-31,,,,,,,,,475747,Actinoptychus senarius,48.851897,-123.301355,1
Actinoptychus senarius,475747,iNaturalist,,187967299,https://www.inaturalist.org/observations/187967299,,,"Mark Webber",,,,2021-05-30,,,,,,,,,475747,Actinoptychus senarius,48.994644,-123.584611,1
Actinoptychus senarius,475747,iNaturalist,,188201552,https://www.inaturalist.org/observations/188201552,,,"Mark Webber",,,,2022-07-15,,,,,,,,,475747,Actinoptychus senarius,49.002527,-123.558369,1
Actinoptychus splendens,493504,iNaturalist,,187951430,https://www.inaturalist.org/observations/187951430,,,"Mark Webber","WL-Box-6C-stb SHW-21-2, WL-SS-LM00046",,,2021-05-30,,,,,,,,,493504,Actinoptychus splendens,48.994461,-123.584965,1
Amphitetras antediluviana,1269703,iNaturalist,,4876139,https://www.inaturalist.org/observations/4876139,,,"Mark Webber",,,,2011-01-05,,,,,,,,,1269703,Amphitetras antediluviana,49.013149,-123.591442,1
Amphitetras antediluviana,1269703,iNaturalist,,229166661,https://www.inaturalist.org/observations/229166661,,,"Mark Webber","WL-Box-35-stb 11",,,2010-12-14,,,,,,,,,1269703,Amphitetras antediluviana,48.994536,-123.584651,1
Amphitetras antediluviana,1269703,iNaturalist,,247821093,https://www.inaturalist.org/observations/247821093,,,"Mark Webber",,,,2024-07-15,,,,,,,,,1269703,Amphitetras antediluviana,48.647095,-123.342419,1
Amphora cf. vixvisibilis,,,,,GBB2023-001-03-rbcL:ASV563,GBB23-001-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Ceramothamnion pacificum",-3.1 m,,,,,1465254,Amphora vixvisibilis,48.940726,-123.501877,2
Amphora cf. vixvisibilis,,,,,GBB2023-006-03-rbcL:ASV563,GBB23-006-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Costaria costata",-4.3 m,,,,,1465254,Amphora vixvisibilis,48.940726,-123.501877,2
Amphora cf. vixvisibilis,,,,,GBB2023-008-03-rbcL:ASV563,GBB23-008-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"epiphytic on Sarcodiotheca gaudichaudii",-2.8 m,,,,,1465254,Amphora vixvisibilis,48.940726,-123.501877,2
Amphora cf. vixvisibilis,,,,,GBB2023-009-03-rbcL:ASV563,GBB23-009-03,,"Arjan van Asselt, Henry McGee, Zach Montieth, Laura Parfrey",,,,2023-05-26,"Retreat Cove",100,"on sand casting of a moon snail",-4.3 m,,,,,1465254,Amphora vixvisibilis,48.940726,-123.501877,2
