Taxon name,Date observed,Description,Place name,Latitude,Longitude,Tags,Geoprivacy,Max. depth,Bottom time,Common name,Island
Abietinaria spp.,2019-05-05T11:30:00,,Conconi Reef,48.825,-123.29,many,open,45,3,coarse sea fir hydroids,Pender Island
Abietinaria spp.,2019-05-04T12:39:00,,St. John Point,48.81285,-123.22778,some,open,43,36,coarse sea fir hydroids,Mayne Island
Acanthodoris hudsoni,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,1,open,31,34,Hudson's dorid,Saturna Island
Acanthodoris hudsoni,2019-05-04T15:30:00,,Walker Rock,48.92833,-123.50483,few,open,48,50,Hudson's dorid,Mayne Island
Acanthodoris nanaimoensis,2019-05-05T13:13:00,,Curlew Island S,48.83296,-123.23778,1,open,27,28,Nanaimo nudibranch,Mayne Island
Acanthodoris nanaimoensis,2019-05-05T09:39:00,,Robertson II,48.81378,-123.2099,1,open,31,34,Nanaimo nudibranch,Saturna Island
Adocia sp.,2019-05-05T13:13:00,,Curlew Island S,48.83296,-123.23778,few,open,27,28,pale orange carpet sponge,Mayne Island
Adocia sp.,2019-05-04T15:56:00,,Restricted island by Samuel Island,49.82885,-123.21502,few,open,35,30,pale orange carpet sponge,Mayne Island
Aequorea spp.,2019-05-05T09:59:00,,Ballingall Islets Park,48.906568,-123.460574,few,open,47,53,water jellies,Galiano Island
Aequorea spp.,2019-05-04T13:30:00,,Retreat Cove,48.939813,-123.501514,1,open,47,44,water jellies,Galiano Island
Aglaja ocelligera,2019-05-04T15:56:00,with eggs,Restricted island by Samuel Island,49.82885,-123.21502,2,open,35,30,spotted aglajid,Mayne Island
Aglaja ocelligera,2019-05-05T09:39:00,egg mass only,Robertson II,48.81378,-123.2099,1,open,31,34,spotted aglajid,Saturna Island
Aglaophenia spp.,2019-05-05T11:30:00,,Conconi Reef,48.825,-123.29,many,open,45,3,ostrich-plume hydroid,Pender Island
Aglaophenia spp.,2019-05-04T14:16:00,,North of Irish Bay,49.81938,-123.215,many,open,45,29,ostrich-plume hydroid,Samuel Island
Apostichopus californicus,2019-05-04T12:00:00,,Ballingall Islets Park,48.906568,-123.460574,few,open,72,33,giant sea cucumber,Galiano Island
Apostichopus californicus,2019-05-05T09:56:00,,Ballingall Islets Park,48.906568,-123.460574,very many,open,43,53,giant sea cucumber,Galiano Island
Apostichopus californicus,2019-05-05T09:59:00,,Ballingall Islets Park,48.906568,-123.460574,very many,open,47,53,giant sea cucumber,Galiano Island
Apostichopus californicus,2019-05-04T09:45:00,,Campbell Bay,48.85833,-123.26833,very many,open,55,45,giant sea cucumber,Mayne Island
Apostichopus californicus,2019-05-04T12:00:00,,Campbell Bay,48.85833,-123.26833,very many,open,42,42,giant sea cucumber,Mayne Island
Apostichopus californicus,2019-05-05T11:30:00,,Conconi Reef,48.825,-123.29,few,open,45,3,giant sea cucumber,Pender Island
Apostichopus californicus,2019-05-04T12:53:00,,"Edith Point, inside",48.855,-123.25,very many,open,50,14,giant sea cucumber,Mayne Island
Apostichopus californicus,2019-05-04T12:53:00,,"Edith Point, inside",48.855,-123.25,very many,open,50,43,giant sea cucumber,Mayne Island
Apostichopus californicus,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,few,open,50,60,giant sea cucumber,Prevost Island
Apostichopus californicus,2019-05-05T12:17:00,,Hawkins Island,48.84,-123.36833,few,open,47,45,giant sea cucumber,Prevost Island
Apostichopus californicus,2019-05-04T12:00:00,,Montague Harbour,48.896354,-123.40363,1,open,33,53,giant sea cucumber,Galiano Island
Apostichopus californicus,2019-05-05T12:00:00,,Navy Bay,48.82909,-123.24254,few,open,60,60,giant sea cucumber,Mayne Island
