area,Family,TaxonName,iNatTaxon,HJ_comment,FPNW_note,critical_comments,reviewed
saanich,Alismataceae,Alisma gramineum,Alisma gramineum,Sidney Island 2000 (details? source?),,,TL
saanich,Alismataceae,Alisma triviale,Alisma triviale,"Marshy areas, often submersed; occasional; Bowker Creek, Swan and Blenkinsop Lakes, and the Sidney area; flowers. AC Spencer Pond, Langford 1987, TCB Glen Lake 1989. TCB Bowker Creek 1999. = A. plantago-aquatica. Recheck vouchers.",,,TL
saanich,Alismataceae,Sagittaria cuneata,Sagittaria cuneata,Collections at V are from Swan Lake in Peace District. Not known from Sannich Penninsula. Nearest PDW Shawnigan Lake 1997.,,,
saanich,Alismataceae,Sagittaria latifolia,Sagittaria latifolia,T.C. Brayshaw reports introduced and increasing population at Thetis Lake. PDW Little Thetis lake 1982.,,,
saanich,Amaranthaceae,Amaranthus albus,Amaranthus albus,Goddard Siney 1934. MCM Oak Bay 1957-1958. G. Allen Cadboro Bay 2016. Hardy Blenkinsop lake 1942. MCM Cedar Hill X Road 1963. Records at V and CPNWH appear as both albus and blitoides. (?),,"Goddard is surname of naturalist who contributed specimens to the B.C. Provincial Museum (20s-50s) contained in Annual Reports. Siney is, I believe a mis-spelling of Sidney. Blenkinsop lake should be Lake, not lake. ",TL
saanich,Amaranthaceae,Amaranthus blitoides,Amaranthus blitoides,"Common weed of cultivated lands; introduced from tropical America and well established in Victoria, Saanich, Prospect Lake, and the Sidney area.",,Prostrate in habit.,TL
saanich,Amaranthaceae,Amaranthus fimbriatus,Amaranthus fimbriatus,Nguyen shoreline Esquimalt Lagoon iNaturalist observation 2020. Looks convincing - far out of normal range.,not in FPNW2,,
saanich,Amaranthaceae,Amaranthus powellii,Amaranthus powellii,Macoun Sidney 1913. Corner of Wilkinson and W Saanich Roads Marr 2007. Goddard Royal Oak 1934.,,,
saanich,Amaranthaceae,Amaranthus retroflexus,Amaranthus retroflexus,Common weed of cultivated fields; introduced from tropical America and well established throughout. Molyneux 1955 Saanichton Experimental Farm.,,,
saanich,Amaranthaceae,Atriplex dioica,Atriplex dioica,"AC Island View Beach 1984, early 20th century collections Eastham, Anderson, Taylor.",,,
saanich,Amaranthaceae,Atriplex gmelinii,Atriplex gmelinii,"Along the coast, mostly on saline soil; common throughout gmelinii = patula var. obtusa or zosterifolia, prostrata = patula var. hastata also in area patula var littoralis = A. littoralis",,,
saanich,Amaranthaceae,Blitum capitatum,Blitum capitatum,Native of Eurasia; occasional; disturbed soil and waste places; Victoria and Cedar Hill.,,,
saanich,Amaranthaceae,Chenopodiastrum murale,Chenopodiastrum murale,Anderson's 1917 collection is a poor specmen. FL vacant lot Oak Bay 2009. Waters Uplands Park iNaturalist report 2019.,,,
saanich,Amaranthaceae,Chenopodiastrum murale,Chenopodiastrum murale,"F of NA range map show only East US and Canada.Vouchers? FL vacant lot, Oak Bay 2009 reported as C. murale. On Lomer & Penny's non-established list. Also on excluded list. Waif?",,,
saanich,Amaranthaceae,Chenopodiastrum simplex,Chenopodiastrum simplex,Collections? None on CPNWH - many Vancouver and valley,,,
saanich,Amaranthaceae,Chenopodium album,Chenopodium album,Native of Eurasia; garden and waste places; naturalized and a very common weed throughout.,,,
saanich,Amaranthaceae,Chenopodium berlandieri var. zschackei,Chenopodium berlandieri zschackei,Taylor Victoria 1912 - re-examine C. album colls from area.,,,
saanich,Amaranthaceae,Oxybasis rubra var. humilis,Oxybasis rubra humilis,Saline soil along the coast; sporadic.,,,
