Family,Full Species,Infra taxa,Habitat,Islands,"Island Size (min, max)",Typical Cover,Date First Seen,Date Last Seen,Notes
Adoxaceae,Sambucus cerulea Raf.,,Forest,1,,,,,
Adoxaceae,Sambucus racemosa L.,var. arborescens,Forest,50,,,,,
Alismataceae,Alisma triviale Pursh,,Wetland,1,,,,,
Amaranthaceae,Amaranthus blitoides S. Watson*,,Open,1,,,,,
Amaranthaceae,Amaranthus powellii S. Watson*,,Open,1,,,,,
Amaranthaceae,Atriplex dioica Raf.,,Shoreline,87,,,,,
Amaranthaceae,Atriplex gmelinii C.A. Mey. ex Bong.,var. gmelinii,Shoreline,26,,,,,
Amaranthaceae,Atriplex littoralis L.*,,Shoreline,1,,,,,
Amaranthaceae,Atriplex patula L.*,,Shoreline,5,,,,,
Amaranthaceae,Atriplex prostrata Boucher ex DC.*,,Shoreline,40,,,,,
Amaranthaceae,"Chenopodiastrum murale (L.) S. Fuentes, Uotila & Borsch*",,Open,1,,,,,
Amaranthaceae,Chenopodium berlandieri Moq.,var. zschackei,Shoreline,19,,,,,
Amaranthaceae,Chenopodium leptophyllum (Moq.) Nutt. ex S. Watson,var. leptophyllum,Open,1,,,,,
Amaranthaceae,Chenopodium macrosperma Hook.f,,Wetland,1,,,,,
Amaranthaceae,"Oxybasis rubra (L.) S. Fuentes, Uotila & Borsch",,Shoreline,2,,,,,
Amaranthaceae,Salicornia depressa Standl.,,Shoreline,3,,,,,
Amaranthaceae,Salicornia pacifica Standl.,,Shoreline,54,,,,,
Amaranthaceae,Sarcocornia pacifica Standl.,,Shoreline,5,,,,,
Amaryllidaceae,Allium acuminatum Hook.,,Open,97,,,,,
Amaryllidaceae,Allium amplectens Torr.,,Open,2,,,,,
Amaryllidaceae,Allium cernuum Roth,,Shoreline,74,,,,,
Amaryllidaceae,Allium sativum L.*,,Open,2,,,,,
Amaryllidaceae,Allium vineale L.*,,Open,2,,,,,
Amaryllidaceae,Narcissus poeticus L.*,,Open,5,,,,,
Amaryllidaceae,Narcissus pseudonarcissus L.*,,Forest,8,,,,,
Apiaceae,Angelica genuflexa Nutt.,,Wetland,1,,,,,
Apiaceae,Angelica lucida L.,,Shoreline,2,,,,,
Apiaceae,Anthriscus caucalis M. Bieb.*,,Open,20,,,,,
Apiaceae,Carum carvi L.*,,Open,1,,,,,
Apiaceae,Cicuta douglasii (DC.) J.M. Coult. & Rose,,Wetland,2,,,,,
Apiaceae,Conioselinum pacificum (S. Watson) J.M. Coult. & Rose,,Wetland,30,,,,,
Apiaceae,Conium maculatum L.*,,Open,3,,,,,
Apiaceae,Daucus carota L.*,,Open,6,,,,,
Apiaceae,Daucus pusillus Michx.,,Open,20,,,,,
Apiaceae,Foeniculum vulgare Mill.*,,Open,3,,,,,
Apiaceae,Glehnia leiocarpa Mathias,,Shoreline,1,,,,,
Apiaceae,Heracleum mantegazzianum Sommier & Levier*,,Forest,3,,,,,
Apiaceae,Heracleum maximum Bartr.,,Open,21,,,,,
Apiaceae,Lilaeopsis occidentalis J.M. Coult. & Rose,,Shoreline,2,,,,,
Apiaceae,Lomatium nudicaule (Pursh) J.M. Coult. & Rose,,Open,43,,,,,
Apiaceae,Lomatium utriculatum (Nutt. ex Torr. & A. Gray) J.M. Coult. & Rose,,Open,29,,,,,
Apiaceae,Oenanthe sarmentosa C. Presl ex DC.,,Wetland,12,,,,,
Apiaceae,Osmorhiza berteroi DC.,,Forest,29,,,,,
Apiaceae,Osmorhiza purpurea (J.M. Coult. & Rose) Suksd.,,Forest,4,,,,,
Apiaceae,Perideridia montana (Blank.) Dorn,,Open,5,,,,,
Apiaceae,Petrosedum erectum ('t Hart) Grulich*,,Shoreline,1,,,,,
Apiaceae,Petroselinum crispum (Mill.) Fuss*,,Open,2,,,,,
Apiaceae,Pimpinella saxifraga L.*,ssp. nigra,Open,1,,,,,
Apiaceae,Sanicula bipinnatifida Douglas ex Hook.,,Open,12,,,,,
Apiaceae,Sanicula crassicaulis Poepp. ex DC.,var. crassicaulis,Open,78,,,,,
Apiaceae,Sium suave Walter,,Wetland,1,,,,,
Apiaceae,Torilis arvensis (Huds.) Link*,ssp. arvensis,Open,7,,,,,
Apiaceae,Yabea microcarpa (Hook. & Arn.) Koso-Pol.,,Wetland,1,,,,,
Apocynaceae,Apocynum androsaemifolium L.,,Open,2,,,,,
Apocynaceae,Vinca major L.*,,Forest,5,,,,,
Apocynaceae,Vinca minor L.*,,Forest,1,,,,,
Aquifoliaceae,Ilex aquifolium L.*,,Open,24,,,,,
Araceae,Arum italicum Mill.*,,Forest,3,,,,,
Araceae,Lemna minor L.,,Wetland,2,,,,,
Araceae,Lemna trisulca L.,,Wetland,3,,,,,
Araceae,Lemna turionifera Landolt,,Wetland,8,,,,,
Araceae,Lysichiton americanus Hulten & H. St. John,,Wetland,5,,,,,
Araceae,Spirodela polyrhiza (L.) Schleid.,,Wetland,3,,,,,
Araceae,"Wolffia borealis (Engelm.) Landolt & Wildi ex Gandhi, Wiersema & Brouillet",,Wetland,2,,,,,
Araceae,Wolffia columbiana H. Karsten,,Wetland,2,,,,,
Araliaceae,Hedera helix L.*,,Forest,8,,,,,
Araliaceae,Hedera hibernica (G. Kirchn.) Bean*,,Forest,21,,,,,
Aristolochiaceae,Asarum caudatum Lindl.,,Forest,2,,,,,
Asparagaceae,Asparagus officinalis L.*,,Open,5,,,,,
Asparagaceae,Brodiaea coronaria (Salisb.) Engl.,,Open,62,,,,,
Asparagaceae,Brodiaea rosea (Greene) Baker,var. rosea,Open,5,,,,,
Asparagaceae,Camassia leichtlinii (Baker) S. Watson,ssp. suksdorfii,Open,95,,,,,
Asparagaceae,Camassia quamash (Pursh) Greene,ssp. maxima,Open,15,,,,,
Asparagaceae,Dichelostemma congestum (Sm.) Kunth,,Open,1,,,,,
Asparagaceae,Hyacinthoides xmassartiana Heist. ex Fabr.*,,Open,9,,,,,
Asparagaceae,Maianthemum dilatatum (Alph. Wood) A. Nelson & J.F. Macbr.,,Forest,16,,,,,
Asparagaceae,Maianthemum racemosum (L.) Link,ssp. amplexicaule,Forest,16,,,,,
Asparagaceae,Maianthemum stellatum (L.) Link,,Forest,7,,,,,
Asparagaceae,Muscari armeniacum Leichtlin ex Baker*,,Open,2,,,,,
Asparagaceae,Ornithogalum umbellatum L.*,,Open,1,,,,,
Asparagaceae,Scilla forbesii (Baker) Speta*,,Open,1,,,,,
