area,Family,TaxonName,iNatTaxon,HJ_comment,FPNW_note,critical_comments,reviewed
sji,Alismataceae,Alisma triviale,Alisma triviale,"Localized, Trout lake, San Juan island; shallow and muddy soils. Zika Beaverton Valley Rd farm pond 2016.",,,
sji,Amaranthaceae,Amaranthus blitoides,Amaranthus blitoides,"Local, sand dunes at Cattle Point, San Juan.",,,
sji,Amaranthaceae,Amaranthus powellii,Amaranthus powellii,"Waste soils, especially gardens and roadsides; uncommon but increasing on larger islands.",,,
sji,Amaranthaceae,Amaranthus retroflexus,Amaranthus retroflexus,Gardens and cultivated areas; occasional weed.,,,
sji,Amaranthaceae,Atriplex dioica,Atriplex dioica,"Many records, all islands.",,,
sji,Amaranthaceae,Atriplex gmelinii,Atriplex gmelinii,Saline soils; fairly common.,,,
sji,Amaranthaceae,Atriplex littoralis,Atriplex littoralis,"Peck Cattle Point, San Juan 1923, Zika Shaw Island 2001.",,,
sji,Amaranthaceae,Atriplex prostrata,Atriplex prostrata,"Widespread Orcas, San Juan, Shaw.Specimens mostly at WTU - recheck A. hastata colections at BC herbariums.",,,
sji,Amaranthaceae,Chenopodiastrum murale,Chenopodiastrum murale,"Gardens and cultivated soil, chiefly at Friday Harbour.",,,
sji,Amaranthaceae,Chenopodiastrum murale,Chenopodiastrum murale,Atkinson and Zika collections Friday Harbour.,,,
sji,Amaranthaceae,Chenopodium album,Chenopodium album,Garden and waste places. Common.,,,
sji,Amaranthaceae,Chenopodium berlandieri var. zschackei,Chenopodium berlandieri zschackei,Giblen North Finger Island 2007.Dunwiddie Sucia 2009.,,,
sji,Amaranthaceae,Oxybasis macrosperma,Oxybasis macrosperma,"Walker Sucia 2018. Atkinson Richardson Marsh, Lopez 1992.",,,
sji,Amaranthaceae,Oxybasis rubra var. humilis,Oxybasis rubra humilis,"Salt or brackish marshes, sometimes in exposed open mudflats; occasional.",,,
sji,Amaranthaceae,Salicornia depressa,Salicornia depressa,"Saline soils; rare along the eastern shore of Lopez.Also Deer Harbour, Orcas. Reported as S. europaea L.This species has generally been called Salicornia europaea by North American authors, but that name refers to a diploid European species that does not occur in North America.",,,
sji,Amaranthaceae,Sarcocornia perennis,Salicornia perennis,Abundant. Reported as Salicornia virginica.,"recorded by HJ: ‘Salicornia pacifica’; “FPNW2 appears to be following FNA (2003) which reports Sarcocornia perennis (prostrate, with woody stems readily rooting in the substrate) from BC and S. pacifica (procumbent to erect shrubs in which woody stems usually do not root) to include east coast of North America (New Hampshire south to Florida) , California and Mexico, but NOT BC. http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=129207; VASCAN has updated their names to Salicornia pacifica following a more recent treatment by Piirainen et al. 2017 that proposes a new infrageneric classification for Salicornia (incl. Sarcocornia) and shows Salicornia pacifica present in BC.Salicornia perennis is excluded. http://data.canadensys.net/vascan/search?q=sarcocorniaSo, you could move ahead of the pack and call your material Salicornia pacifica Standley sensu Piirianen et al. 2017 OR you could use the synonym Sarcocornia pacifica. I’ll propose the name change (Sarcocornia pacifica to Salicornia pacifica) for fall review, but it would not show up in Species Explorer/E-Flora until next year.” –MD",,
sji,Amaryllidaceae,Allium acuminatum,Allium acuminatum,Dry gravely meadows and rocky benchland; large and small islands; abundant.,,,
sji,Amaryllidaceae,Allium amplectens,Allium amplectens,Rare; no recent sightings; known from a few old collections and reports. Argyle district on San Juan Island. Meadows by the sea.,,,
sji,Amaryllidaceae,Allium cernuum,Allium cernuum,"Widespread; rocky outcropson summit of Mt Constitution to transitional forests, gravely meadows and occasionally on strand.",,,
sji,Amaryllidaceae,Allium vineale,Allium vineale,"In irregularly mowed meadow, former pasture, with Symphoricarpos albus, Rubus ursinus, full sun. Zika collection San Juan Island. Lloyd iNaturalist observation Barlow Bay, Lopez.",,,
sji,Amaryllidaceae,Narcissus pseudonarcissus,Narcissus pseudonarcissus,Long persistant or adventive especially on Lopez and San Juan. Dunwiddie & Zika Patos Island 2018. D&Z N. poeticus from Patos also.,,,
sji,Apiaceae,Angelica lucida,Angelica lucida,"Strand and wet, rich soils adjacent to salt water; few sites on San Juan and Lopez.",,,
sji,Apiaceae,Anthriscus caucalis,Anthriscus caucalis,"Roadsides and less often strand or meadows; occasional. Several collections Sucia, San Juan.",,,
sji,Apiaceae,Carum carvi,Carum carvi,"Cultivated, roadsides chiefly on San Juan.",,,
sji,Apiaceae,Cicuta douglasii,Cicuta douglasii,"Occasional along shore of Sportsman Lake, San Juan.",,,
sji,Apiaceae,Conioselinum pacificum,Conioselinum gmelinii,"Maritime and saline sites, especially shady coves or clay banks and cobble beaches; fairly common.",,,
sji,Apiaceae,Conium maculatum,Conium maculatum,"Adventive of vacant lots, roadsides and other waste sites in the open; common and increasing.",,,
sji,Apiaceae,Daucus carota,Daucus carota,Dry rocky sites; fairly common.,,,
sji,Apiaceae,Daucus pusillus,Daucus pusillus,Rocky outcrops; widespread but erratic in distribution.,,,
sji,Apiaceae,Foeniculum vulgare,Foeniculum vulgare,"Naturalized on gravelly, open slopes near Argyle, San Juan.",,,
sji,Apiaceae,Glehnia leiocarpa,Glehnia littoralis leiocarpa,Strand; no recent records. Deception Bay Park on Whidbey 1965.,,,
sji,Apiaceae,Heracleum mantegazzianum,Heracleum mantegazzianum,Cultivated San Juan and Lopez. Roadside weed on Orcas.,,,
sji,Apiaceae,Heracleum maximum,Heracleum maximum,"Common; wet seeps, open stream valleys, coastal bluff; usually near salt water.",,,
sji,Apiaceae,Lilaeopsis occidentalis,Lilaeopsis occidentalis,"Muddy, rocky pools just above high-tide mark; rare. Chiefly southern shore of San Juan.",,,
sji,Apiaceae,Lomatium nudicaule,Lomatium nudicaule,Common; meadows and ocasionally grassy beaches.,,,
sji,Apiaceae,Lomatium utriculatum,Lomatium utriculatum,Throughout and locally abundant; meadows and rock outcrops. Abundant at Iceberg Point.,,,
sji,Apiaceae,Oenanthe sarmentosa,Oenanthe sarmentosa,"Common; pools and streams in shady woods, lake edges and ditches.",,,
sji,Apiaceae,Osmorhiza berteroi,Osmorhiza berteroi,"Shady, coniferous woods; common to abundant.",,,
sji,Apiaceae,Osmorhiza purpurea,Osmorhiza purpurea,"Dense, moist coniferous woods; Mt Constitution and Moran State Park; also Blakely; rare.",,,
sji,Apiaceae,Pastinaca sativa,Pastinaca sativa,Peck just above beach at Argyle date? Represented by herbarium collections but not considered established.,,,
sji,Apiaceae,Perideridia montana,Perideridia gairdneri,"Locally abundant, less disturbd prairies; most numerous at Iceberg Point.",,,
sji,Apiaceae,Petroselinum crispum,Petroselinum crispum,"Occasionally established as roadside escape, Friday harbour, Roche Harbour, Yellow Island.",,,
sji,Apiaceae,Pimpinella saxifraga,Pimpinella saxifraga,"Once established near Roche Harbour, Peck collections 1923. Not found since.",,,
sji,Apiaceae,Sanicula arctopoides,Sanicula arctopoides,"Locations witheld Orcas, San Juan, Lopez, Decatur. See S. x howellii",,,
