Taxon,Author,Author of Sub Species or Variety,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Subclass,Super-order,Order,Sub-order,Super-family,Family,Subfamily,Origin,Status,Reporting,Documented,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,First Documented,Documenter,iNaturalist Link,iNaturalist photo,Notes,ID,Stats Code,,,,
Agarum fimbriatum,(Harvey) H.Kawai & T.Hanyuda,,sea colander kelp,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Agaraceae,,native,not in CDC records,reported,undocumented,2017-08-20,Donna Gibbs,Howe Sound Marine Data,,,,, ,,182954,,,,,
Costaria costata,(Turner) Saunders,,seersucker kelp,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Laminariaceae,,native,not in CDC records,reported,undocumented,1995-04-02,Donna Gibbs,Howe Sound Marine Data,,,,,,Porteau  49.56103  -123.23512 - 4 examples to show all locations  are provided on Donna Gibbs' spreadsheet,125877,,,,,
Fucus distichus,L.,,rockweed,Chromista,Ochrophyta,,,Phaeophyceae,,,Fucales,,,Fucaceae,,native,not in CDC records,confirmed,documented,2004-08-06,Donna Gibbs,Howe Sound Marine Data,,2015-04-04,judithofsquamish,https://www.inaturalist.org/observations/9983731,https://static.inaturalist.org/photos/13721389/medium.jpeg?1519521836,,69155,,,,,
Saccharina latissima,"(Linnaeus) C.E. Lane, C. Mayes, Druehl, et G.W. Saunders",,sea belt,Chromista,Ochrophyta,,,Phaeophyceae,,,Laminariales,,,Laminariaceae,,native,not in CDC records,reported,undocumented,2015-01-29,Donna Gibbs,Howe Sound Marine Data,,,,,,Porteau  49.56103  -123.23512,130231,,,,,
Sargassum muticum,(Yendo) Fensholt ,,Japanese wireweed,Chromista,Ochrophyta,,,Phaeophyceae,,,Fucales,,,Sargassaceae,,native,not in CDC records,confirmed,documented,1995-04-02,Donna Gibbs,Howe Sound Marine Data,,2019-04-06,benkeen,https://www.inaturalist.org/observations/22101511,https://static.inaturalist.org/photos/34213013/medium.jpg?1554574700,,130177,,,,,
Anthoceros punctatus ,L.,,dotted hornwort,Plantae,Anthocerotophyta,,,Anthocerotopsida,,,Anthocerotales,,,Anthocerotaceae,,unknown,SU (2018)  ,reported,undocumented,1961-06-03,M. Bell ,WTU,WTU-B-010847,,,,,,158432,,,,,
Amblystegium serpens ,(Hedw.) Schimp. B352,,creeping feather-moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Amblystegiaceae,,native,S4S5 (2015),reported ,undocumented,1980-04-16,W. B. Schofield,UBC  ,s.n.,,,,,,154122,,,,,
Amphidium lapponicum ,(Hedw.) Schimp.,,Lapland amphibian moss,Plantae,Bryophyta,,,Bryopsida,,,Orthotrichales,,,Orthotrichaceae,,native,S5 (2015) ,reported ,undocumented,1986-03-16,Terry Taylor,UBC  ,s.n.,,,,,,158305,,,,,
Anacolia menziesii ,(Turn.) Par.,,anacolia moss,Plantae,Bryophyta,,,Bryopsida,,,Bartramiales,,,Bartramiaceae,,native,S4S5 (2015),reported ,undocumented,1980-05-22,Joop van Velzen,UBC  ,s.n.,,,,,,128572,,,,,
Andreaea blyttii ,Schimp.,,Blytt's rock moss,Plantae,Bryophyta,,,Andreaeopsida,,,Andreaeales,,,Andreaeaceae,,native,S4 (2015),reported,undocumented,1983-09-29,W. B. Schofield ,UBC  ,s.n.,,,,,,158338,,,,,
