key,latitude,longitude,iNaturalistTaxonName,CLASS,SUB_CLASS
PMLS:13,48.939813,-123.501514,Metridium senile,Trincomali,
PMLS:18282,48.94167,-123.51333,Metridium senile,Trincomali,
PMLS:14224,48.938826,-123.501192,Obelia,Trincomali,
PMLS:24,48.939813,-123.501514,Peltodoris nobilis,Trincomali,
PMLS:13373,48.939813,-123.501514,Peltodoris nobilis,Trincomali,
PMLS:14413,48.938826,-123.501192,Peltodoris nobilis,Trincomali,
PMLS:15208,48.938826,-123.501192,Peltodoris nobilis,Trincomali,
PMLS:16551,48.939813,-123.501514,Peltodoris nobilis,Trincomali,
PMLS:25,48.939813,-123.501514,Doris montereyensis,Trincomali,
PMLS:15209,48.938826,-123.501192,Doris montereyensis,Trincomali,
iNat:7660202,48.9406190988,-123.5020530219,Doris montereyensis,Trincomali,
iNat:12744159,48.9410966575,-123.5059447278,Doris montereyensis,Trincomali,
PMLS:1175,48.94167,-123.51333,Pagurus beringanus,Trincomali,
PMLS:13385,48.939813,-123.501514,Pagurus beringanus,Trincomali,
PMLS:14429,48.938826,-123.501192,Pagurus beringanus,Trincomali,
PMLS:15219,48.938826,-123.501192,Pagurus beringanus,Trincomali,
PMLS:18308,48.94167,-123.51333,Pagurus beringanus,Trincomali,
iNat:12684290,48.9402414,-123.5043485,Pagurus beringanus,RW,se
iNat:13029360,48.9404856942,-123.5015480513,Pagurus beringanus,Trincomali,
PMLS:35,48.939813,-123.501514,Evasterias troschelii,Trincomali,
PMLS:1181,48.94167,-123.51333,Evasterias troschelii,Trincomali,
PMLS:13390,48.939813,-123.501514,Evasterias troschelii,Trincomali,
PMLS:14263,48.938826,-123.501192,Evasterias troschelii,Trincomali,
PMLS:14434,48.938826,-123.501192,Evasterias troschelii,Trincomali,
PMLS:15225,48.938826,-123.501192,Evasterias troschelii,Trincomali,
PMLS:16557,48.939813,-123.501514,Evasterias troschelii,Trincomali,
PMLS:18319,48.94167,-123.51333,Evasterias troschelii,Trincomali,
iNat:6298907,48.940751115,-123.503059744,Evasterias troschelii,DP,sz
iNat:7701388,48.940537,-123.504198,Evasterias troschelii,MF,co
iNat:13029349,48.9405816845,-123.5013557744,Evasterias troschelii,Trincomali,
iNat:15726102,48.9409994872,-123.5039642196,Evasterias troschelii,Trincomali,
iNat:15726105,48.9413184262,-123.5038827816,Evasterias troschelii,Trincomali,
iNat:24792561,48.9395912861,-123.5048467601,Evasterias troschelii,Trincomali,
iNat:30009635,48.9389215184,-123.5022889613,Evasterias troschelii,Trincomali,
iNat:45326870,48.939770155,-123.500968192,Evasterias troschelii,Trincomali,
iNat:45326875,48.9402798406,-123.5025131443,Evasterias troschelii,Trincomali,
PMLS:50,48.939813,-123.501514,Rhinogobiops nicholsii,Trincomali,
PMLS:1204,48.94167,-123.51333,Rhinogobiops nicholsii,Trincomali,
PMLS:13418,48.939813,-123.501514,Rhinogobiops nicholsii,Trincomali,
PMLS:14276,48.938826,-123.501192,Rhinogobiops nicholsii,Trincomali,
PMLS:14453,48.938826,-123.501192,Rhinogobiops nicholsii,Trincomali,
PMLS:15239,48.938826,-123.501192,Rhinogobiops nicholsii,Trincomali,
PMLS:16455,48.938826,-123.501192,Rhinogobiops nicholsii,Trincomali,
PMLS:16565,48.939813,-123.501514,Rhinogobiops nicholsii,Trincomali,
PMLS:18337,48.94167,-123.51333,Rhinogobiops nicholsii,Trincomali,
iNat:2908930,48.940877,-123.502329,Rhinogobiops nicholsii,Trincomali,
iNat:2976016,48.940211,-123.502679,Rhinogobiops nicholsii,MF,co
iNat:2976323,48.940211,-123.502679,Rhinogobiops nicholsii,MF,co
iNat:2976382,48.940211,-123.502679,Rhinogobiops nicholsii,MF,co
iNat:7674360,48.9410576638,-123.5058445929,Rhinogobiops nicholsii,Trincomali,
iNat:24792363,48.9395912861,-123.5048467601,Rhinogobiops nicholsii,Trincomali,
iNat:24798600,48.9395912861,-123.5048467601,Rhinogobiops nicholsii,Trincomali,
iNat:30009592,48.9389215184,-123.5022889613,Rhinogobiops nicholsii,Trincomali,
PMLS:51,48.939813,-123.501514,Sebastes caurinus,Trincomali,
PMLS:1208,48.94167,-123.51333,Sebastes caurinus,Trincomali,
PMLS:13425,48.939813,-123.501514,Sebastes caurinus,Trincomali,
PMLS:14281,48.938826,-123.501192,Sebastes caurinus,Trincomali,
PMLS:14458,48.938826,-123.501192,Sebastes caurinus,Trincomali,
PMLS:15242,48.938826,-123.501192,Sebastes caurinus,Trincomali,
PMLS:16568,48.939813,-123.501514,Sebastes caurinus,Trincomali,
PMLS:18343,48.94167,-123.51333,Sebastes caurinus,Trincomali,
iNat:3707593,48.9402414,-123.5043485,Sebastes caurinus,RW,se
iNat:24792028,48.9395912861,-123.5048467601,Sebastes caurinus,Trincomali,
PMLS:52,48.939813,-123.501514,Hexagrammos decagrammus,Trincomali,
PMLS:1211,48.94167,-123.51333,Hexagrammos decagrammus,Trincomali,
PMLS:13428,48.939813,-123.501514,Hexagrammos decagrammus,Trincomali,
PMLS:14283,48.938826,-123.501192,Hexagrammos decagrammus,Trincomali,
PMLS:14461,48.938826,-123.501192,Hexagrammos decagrammus,Trincomali,
PMLS:15243,48.938826,-123.501192,Hexagrammos decagrammus,Trincomali,
PMLS:16462,48.938826,-123.501192,Hexagrammos decagrammus,Trincomali,
PMLS:16571,48.939813,-123.501514,Hexagrammos decagrammus,Trincomali,
PMLS:18345,48.94167,-123.51333,Hexagrammos decagrammus,Trincomali,
iNat:6967042,48.9402414,-123.5043485,Hexagrammos decagrammus,RW,se
iNat:13895716,48.9405535667,-123.5026375147,Hexagrammos decagrammus,Trincomali,
PMLS:53,48.939813,-123.501514,Ophiodon elongatus,Trincomali,
PMLS:1212,48.94167,-123.51333,Ophiodon elongatus,Trincomali,
PMLS:14285,48.938826,-123.501192,Ophiodon elongatus,Trincomali,
PMLS:14462,48.938826,-123.501192,Ophiodon elongatus,Trincomali,
PMLS:18347,48.94167,-123.51333,Ophiodon elongatus,Trincomali,
iNat:2976120,48.940211,-123.502679,Ophiodon elongatus,MF,co
PMLS:14463,48.938826,-123.501192,Artedius fenestralis,Trincomali,
iNat:2976334,48.940211,-123.502679,Artedius fenestralis,MF,co
iNat:7647275,48.940452,-123.501066,Artedius fenestralis,DP,sz
PMLS:14,48.939813,-123.501514,Balanophyllia elegans,Trincomali,
PMLS:1127,48.94167,-123.51333,Balanophyllia elegans,Trincomali,
PMLS:13348,48.939813,-123.501514,Balanophyllia elegans,Trincomali,
PMLS:14220,48.938826,-123.501192,Balanophyllia elegans,Trincomali,
PMLS:14391,48.938826,-123.501192,Balanophyllia elegans,Trincomali,
PMLS:15186,48.938826,-123.501192,Balanophyllia elegans,Trincomali,
PMLS:16441,48.938826,-123.501192,Balanophyllia elegans,Trincomali,
PMLS:16545,48.939813,-123.501514,Balanophyllia elegans,Trincomali,
PMLS:18279,48.94167,-123.51333,Balanophyllia elegans,Trincomali,
iNat:24792362,48.9395912861,-123.5048467601,Balanophyllia elegans,Trincomali,
PMLS:15,48.939813,-123.501514,Ptilosarcus gurneyi,Trincomali,
PMLS:1128,48.94167,-123.51333,Ptilosarcus gurneyi,Trincomali,
PMLS:14221,48.938826,-123.501192,Ptilosarcus gurneyi,Trincomali,
PMLS:14392,48.938826,-123.501192,Ptilosarcus gurneyi,Trincomali,
PMLS:15187,48.938826,-123.501192,Ptilosarcus gurneyi,Trincomali,
PMLS:18277,48.94167,-123.51333,Ptilosarcus gurneyi,Trincomali,
iNat:2976007,48.940211,-123.502679,Ptilosarcus gurneyi,MF,co
PMLS:16,48.939813,-123.501514,Serpula columbiana,Trincomali,
PMLS:1137,48.94167,-123.51333,Serpula columbiana,Trincomali,
PMLS:13353,48.939813,-123.501514,Serpula columbiana,Trincomali,
PMLS:14398,48.938826,-123.501192,Serpula columbiana,Trincomali,
PMLS:15190,48.938826,-123.501192,Serpula columbiana,Trincomali,
PMLS:18286,48.94167,-123.51333,Serpula columbiana,Trincomali,
iNat:7701427,48.9404941293,-123.5043075083,Serpula columbiana,RW,se
PMLS:17,48.939813,-123.501514,Dodecaceria fewkesi,Trincomali,
PMLS:1138,48.94167,-123.51333,Dodecaceria fewkesi,Trincomali,
PMLS:13354,48.939813,-123.501514,Dodecaceria fewkesi,Trincomali,
PMLS:14228,48.938826,-123.501192,Dodecaceria fewkesi,Trincomali,
PMLS:14399,48.938826,-123.501192,Dodecaceria fewkesi,Trincomali,
