Group,Scientific.name,Taxonomic.level,Common.name ,Hulquminum.name.Thom.2011,Hulquminum.name.Luschim.2021,Alt.Hulquminum.name.Cowichan.dialect.1.Turner.2014,Alt.Hulquminum.name.Cowichan.dialect.2.Turner.2014,Alt.Hulquminum.name.Cowichan.dialect.3.Turner.2014,Alt.Hulquminum.name.Cowichan.dialect.4.Turner.2014,Alt.Hulquminum.name.Cowichan.dialect.5.Turner.2014,Alt.Hulquminum.name.Cowichan.dialect.meaning.Turner.2014,Alt.Hulquminum.name.upriver.Fraser.Turner.2014,Alt.Hulquminum.name.upriver.Fraser.2.Turner.2014,Alt.Hulquminum.name.upriver.Fraser.meaning.Turner.2014,Alt.Hulquminum.name.upriver.Fraser.meaning.2.Turner.2014,Alt.Hulquminum.name.Island.1.Turner.2014,Alt.Hulquminum.name.Island.2.Turner.2014,Alt.Hulquminum.name.Chilliwack.1.Turner.2014,Alt.Hulquminum.name.Chilliwack.1.meaning.Turner.2014,French.name.Thom.2011,Ecosystem.guide.content.Thom.2011,Ecosystem.guide.value.Fd.Thom.2011,Ecosystem.guide.value.Md.Thom.2011,Ecosystem.guide.value.Sp.Thom.2011,Ecosystem.guide.value.Mt.Thom.2011,Ecosystem.guide.value.Tr.Thom.2011,Ecosystem.guide.value.Id.Thom.2011,Turner 2014; Turner & Charlie (2021); Luschim 2021,Curator.notes
Algae & Kelp,Chlorophyta,phylum,algae,,,,,,,,,stíxəәm,,"(slime of any kind, fish or algae)",,,,,,,,,,,,,,Turner 2014,
Algae & Kelp,Nereocystis luetkeana,species,bull kelp,q'am' ,q'am',q’amʔ,,,,,,,,,,,,,,neurocystis de lutke,"Q'am'  is found in rocky areas just offshore at depths of 21 metres or more, and on offshore reefs. If you are looking for reefs for collecting resources or as a navigational aid, q'am' is an important indicator. Q'am'  is also an important habitat for fish and other marine organisms. One of the practical uses of q'am' is to use the hollow stock steaming wooden hooks, bows and hoops. The shuyutun or leaf portion is used to line your canoe or container, and cover to keep your catch cool and fresh, especially in the summer. It is also a place to anchor or tie up and lets you know where to spear fish. It has been used as a foghorn in the past. Q'am'  is also very spiritual; children are told to keep their hands in the canoe for protection from q'am'. ",1,1,1,1,0,1,Thom 2011; Turner 2014; Luschim 2021,
Algae & Kelp,Pyropia,genus,red laver,lhuq'us,pulhtalus,łəә́q’əәs,,,,,,,,,,,,,,la porphyre,"Lhuq'us is found in shallow water, often in bays, in the low to mid-tide level on rocky shores. Lhuq'us is the thin, green plant; pulh ta lus is thicker. Lhuq'us is harvested at the young growing stage in the spring, usually around May. Older plants are too tough to be eaten. Winter growth is tastier than spring growth but tedious to harvest because it is so short. Historically, lhuq'us was harvested and sold to Chinese and Japanese people in the Victoria area. ",1,0,0,0,1,0,Thom 2011; Turner 2014; Luschim 2021,Thom (2011) lists Porphyra spp.; Luschim differentiates Pulhatus (red laver) from lhuq'us (sea lettuce)
Algae & Kelp,Fucus distichus,species,rockweed,qw'aqwuqw,qw'aqwuqw,kw’éʔqəәq,qw’aqwəәqw,,,,,,,,,,,,,le fucus vesiculeux,"Qw'aqwuqw is a common algae that occurs high in the intertidal zone. Mature qw'aqwuqw form small bulbous bladders that float when the tide comes in. These bladders ""pop"" when stepped on. The inside fluid of the qw'aqwuqw can be used as a basic salve. The plant also has special cleansing uses that can be particular to the user. ",1,1,1,1,0,1,Thom 2011; Luschim 2021,Thom (2011) and Turner (2014) lists Fucus gardneri; now recognized as Fucus distichus
Algae & Kelp,Ulva fenestrata,species,sea lettuce,,lhuq'us,,kw’éqeq,,,,,,,,,,,,,,,,,,,,,Turner 2014; Luschim 2021,Ulva lactuca listed by Turner (2014); this species is now recognized as Ulva fenestrata; Luschim differentiates Pulhatus (red laver) from lhuq'us (sea lettuce)
Algae & Kelp,Spirogyra,genus,water silk,,,,,,,,,stíxəәm,,"(slime of any kind, fish or algae)",,,,,,,,,,,,,,Turner 2014,
Birds,Cinclus mexicanus ,species,American dipper,mulmul-hwitth'e',,,,,,,,,,,,,,,,le cincle d'Amerique ,Mulmul-hwitth'e' is always found at or near fast-moving clear water such as small streams and rivers. Mulmul-hwitth'e' has a distinct bobbing body movement that helps to identify it. Mulmul-hwitth'e' has an extra eyelid on its eyes that lets it see underwater to find the small insects it feeds on. Its presence indicates good water quality. There are specific stories that include or refer to this bird and its special cultural/spiritual significance. Mulmul-hwitth'e' means oily (clothes) feathers. ,0,1,1,1,1,0,Thom 2011,
Birds,Anas americana,species,American widgeon,sése,,,,,,,,,,,,,,,,le canard d'Amérique ,"Widgeons have a distinct heavy body and large head, a blue bill and a white crown with a green eye stripe. The female has a grey bill and is grayish-brown with a pinkish front. Common and widespread in the winter, they are often found with other ducks in wetlands, marshes, fields and in parks in urban areas. American widgeon travel bunched up so you can catch many of them at once when you are hunting them.",1,1,1,0,1,1,Thom 2011,
Birds,Haliaeetus leucocephalus,species,bald eagle,yuxwule',,,,,,,,,,,,,,,,le pygarge à tête blanche,"The winter food supply for many yuxwule' is the die-off from fall/winter salmon runs. You can find yuxwule' near the lower reaches of a river and side channels as they wait for this winter food. If you learn to watch for hunting or fishing perches, you may find yuxwule' feathers. Holding a yuxwule' feathew bestows a peek at the virtues of its original owner. Cultural value is not always immediately visible, and yuxwule' is an example of this–not because of its food or material value but as a result of its ability to hunt and provide for its young, its ability to fish and catch game much larger than itself, and its ability to soar effortlessly above the highest mountains. Yuxwule' pervades our stories, language and culture. ",0,1,1,1,1,1,Thom 2011,
Birds,Aves,class,bird eggs,tth'utth'uxals,,,,,,,,,,,,,,,,les oeufs d'oiseaux,Marine birds often nest in colonies or in the same area year after year. This aids in harvesting enough eggs to be of consequence. Knowing the timing and location or probable location is of utmost importance. Other bird eggs–such as grouse–were also harvested. Tth'utth'uxals is the name used for eggs in general. The most plentiful eggs in an area (or time) are collected. There is an island to the north called Shqwuni'ela where gulls lay their eggs. People time their travel so they can collect eggs at Shqwuni'ela. ,1,1,0,0,1,0,Thom 2011,
