Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Origin,Status,Reporting,Documenting,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Documented,Documenter,iNaturalist Link,Notes,ID,Stats Code
Bathydrilus litoreus,"Baker, 1983",,naidid worm,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,Tubificina,,Naididae,Phallodrilinae,Bathydrilus,,native,unlisted,reported,unobserved,1979-07-05,Randy Baker,RBCM,991-00598-001,1898264423,,,,,957359,WOR
Limnodriloides victoriensis,"Brinkhurst & Baker, 1979",,naidid worm,Animalia,Annelida,,,Clitellata,Oligochaeta,,Haplotaxida,Tubificina,,Naididae,Limnodriloidinae,Limnodriloides,,native,unlisted,reported,unobserved,1979-07-05,Randy Baker,RBCM,991-00719-004,1898267514,,,,,957352,WOR
Phyllochaetopterus prolifica,"Potts, 1914",,prolific three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,Phyllochaetopterus,,native,unlisted,reported,unobserved,2006-11-11,Andy Lamb,PMLS,,,,,,,467241,WOR
Phyllochaetopterus sp.,,,three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Canalipalpata,,,Chaetopteridae,,Phyllochaetopterus,,,,reported,unobserved,2007-10-14,Andy Lamb,PMLS,,,,,,misspelled Phyllochaeopterus claparedii,374226,WOR
Diopatra ornata,"Moore, 1911",,ornate tubeworm,Animalia,Annelida,,,Polychaeta,Errantia,,Eunicida,,,Onuphidae,Onuphinae,Diopatra,,native,unlisted,confirmed,observed,1999-10-02,Andy Lamb,PMLS,,,2020-06-07,Jennifer Grant,https://www.inaturalist.org/observations/49172988,,339286,WOR
Aphrodita negligens,"Moore, 1905",,sea mouse,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Aphroditidae,,Aphrodita,,native,unlisted,reported,unobserved,1914-06-26,,RBCM,974-00265-001,1898322906,,,,,733687,WOR
Oxydromus pugettensis,"(Johnson, 1901)",,bat star commensal worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Hesionidae,Ophiodrominae,Oxydromus,,native,unlisted,confirmed,observed,2006-06-23,Andy Lamb,PMLS,,,2018-08-10,Karolle Wall,https://www.inaturalist.org/observations/15702535,,494514,WOR
Alitta williami,"Villalobos-Guerrero & Bakken, 2018",,giant piling sea-nymph worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,Alitta,,native,unlisted,new 2017,observed,,,,,,2017-04-17,Kristian Sigvardsen,https://inaturalist.ca/observations/5796200,,1115984,WOR
Nereis cf zonata,,,ragworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,Nereis,,,,reported,unobserved,1986-09-30,,RBCM,986-00197-016,1898310721,,,,,347330,WOR
Nereis sp.,,,sea-nymph worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,Nereis,,,,reported,unobserved,2008-03-01,Andy Lamb,PMLS,,,,,,,81791,WOR
Nereis vexillosa,"Grube, 1851",,banner sea-nymph,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,Nereis,,native,unlisted,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,,2019-05-04,Lena Dietz Chiasson,https://www.inaturalist.org/observations/24714358,,81790,WOR
Platynereis bicanaliculata,"(Baird, 1863)",,algae-dwelling sea-nymph,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,Platynereis,,native,unlisted,new 2019,observed,,,,,,2019-05-04,Emily Adamczyk,https://www.inaturalist.org/observations/24749850,,129876,WOR
Eulalia sp.,,,,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Phyllodociformia,,Phyllodocidae,Eteoninae,Eumida,,native,unlisted,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-024,1898322763,,,,,345515,WOR
Arctonoe fragilis,"(Baird, 1863)",,fragile ruffled scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Arctonoinae,Arctonoe,,native,unlisted,reported,unobserved,1975-06-18,T. Kessler,RBCM,975-00227-001,1898315965,,,,,69914,WOR
Arctonoe pulchra,"(Johnson, 1897)",,red commensal scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Arctonoinae,Arctonoe,,native,unlisted,confirmed,observed,1975-06-18,T. Kessler,RBCM,975-00227-003,1898314750,2019-05-04,Norah Brown,https://www.inaturalist.org/observations/24535513,,465156,WOR
Arctonoe vittata,"(Grube, 1855)",,red-banded commensal scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Arctonoinae,Arctonoe,,native,unlisted,reported,unobserved,1975-06-18,T. Kessler,RBCM,975-00227-002,1898294448,,,,,122163,WOR
Halosydna brevisetosa,"Kinberg, 1856",,eighteen-scaled worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Lepidonotinae,Halosydna,,native,unlisted,confirmed,observed,1969-02-22,Andy Lamb,PMLS,,,2019-05-05,Dave Metzger,https://www.inaturalist.org/observations/25586752,,71236,WOR
Harmothoe fragilis,"Moore, 1910",,chocolate & white scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Polynoinae,Harmothoe,,native,unlisted,reported,unobserved,2012-10-06,Andy Lamb,PMLS,,,,,,,873903,WOR
Epigamia cf alexandri,,,noble necklace worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Syllidae,Autolytinae,Epigamia,,non-native,unlisted,reported,unobserved,1986-09-30,,RBCM,986-00197-018,1898293180,,,,,1136117,WOR
Trypanedenta gemmipara,"(Johnson, 1901)",,brown jewel necklace worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Syllidae,Syllinae,Trypanedenta,,native,unlisted,reported,unobserved,1986-09-30,,RBCM,986-00197-017,1898311580,,,,,1136121,WOR
Trypanosyllis sp.,,,necklace-worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Syllidae,Syllinae,Trypanosyllis,,,,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,,195014,WOR
Tomopteris sp.,,,,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,,,Tomopteridae,,Tomopteris,,native,unlisted,reported,unobserved,2010-05-30,Andy Lamb,PMLS,,,,,,,693689,WOR
Bispira pacifica,"(Berkeley & Berkeley, 1954)",,twin-eyed feather duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellariidae,Sabellinae,Acromegalomma,,,,reported,unobserved,1973-09-20,Andy Lamb,PMLS,,,,,,,781286,WOR
Neosabellaria cementarium,"(Moore, 1906)",,cemented sandmason tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellariidae,,Neosabellaria,,native,unlisted,reported,unobserved,1996-09-28,Charlie Gibbs,PMLS,,,,,,reported as Sabellaria cementarium,339237,WOR
Chone aurantiaca,"(Johnson, 1901)",,orange feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,Chone,,native,unlisted,reported,unobserved,1999-05-04,Andy Lamb,PMLS,,,,,,,356415,WOR
Eudistylia vancouveri,"(Kinberg, 1866)",,Vancouver feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,Eudistylia,,native,unlisted,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,,2015-01-01,Peter Luckham,http://www.inaturalist.org/observations/2797277,,84864,WOR
Myxicola aff. aesthetica,,,petite slime-tube feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,Myxicola,,native,unlisted,reported,unobserved,2018-06-19,Andy Lamb,PMLS,,,,,,,492594,WOR
Myxicola aff. infundibulum,,,slime-tube feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,Myxicola,,native,unlisted,reported,unobserved,1993-05-09,Charlie Gibbs,PMLS,,,,,,,49533,WOR
Parasabella media,Bush 1905,,parasol feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,Parasabella,,native,unlisted,confirmed,observed,1994-09-10,Andy Lamb,PMLS,,,2021-03-10,Andrew Simon,https://inaturalist.ca/observations/70981826,,367054,WOR
Pseudopotamilla occelata,"Moore, 1905",,feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,Pseudopotamilla,,native,unlisted,reported,unobserved,1986-09-30,,RBCM,1986-09-30,1898311898,,,,,485471,WOR
Schizobranchia insignis,"Bush, 1905",,split-branch feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,Schizobranchia,,native,unlisted,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,,2017-05-26,Karolle Wall,https://www.inaturalist.org/observations/7674363,,339561,WOR
Apomatus geniculatus,"(Moore & Bush, 1904)",,pearl-topped calcareous worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,Apomatus,,native,unlisted,reported,unobserved,2007-10-14,Andy Lamb,PMLS,,,,,,,939557,WOR
Crucigera zygophora,"(Johnson, 1901)",,pale calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,Crucigera,,native,unlisted,reported,unobserved,1986-09-30,,RBCM,,,,,,,543574,WOR
Pileolaria spp.,,,dwarf calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,Spirorbinae,Pileolaria,,,,reported,unobserved,1994-10-23,Andy Lamb,PMLS,,,,,,,533325,WOR
Protula pacifica,"Pixell, 1912",,white-crown calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,Protula,,native,unlisted,reported,unobserved,1981-05-31,Andy Lamb,PMLS,,,,,,,538108,WOR
Pseudochitinopoma occidentalis,"(Bush, 1905)",,western calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,Pseudochitinopoma,,native,unlisted,reported,unobserved,2006-03-05,Andy Lamb,PMLS,,,,,,,538107,WOR
Salmacina tribranchiata,"(Moore, 1923)",,three-branch calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,Salmacina,,native,unlisted,reported,unobserved,2006-11-18,Andy Lamb,PMLS,,,,,,,194972,WOR
Serpula columbiana,"Johnson, 1901",,red-trumpet calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,Serpula,,native,unlisted,confirmed,observed,1986-04-08,,RBCM,986-00191-010,,2015-09-25,Karolle Wall,http://www.inaturalist.org/observations/3706037,,131207,WOR
Cirratulus spectabilis,"(Kinberg, 1866)",,red threads worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Cirratuliformia,,Cirratulidae,,Cirratulus,,native,unlisted,reported,unobserved,1986-09-30,,RBCM,986-00197-064,1898288225,,,,,1136116,WOR
Dodecaceria concharum,"Örsted, 1843",,coralline-encased filament-worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Cirratuliformia,,Cirratulidae,,Dodecaceria,,non-native,unlisted,confirmed,observed,1999-07-31,Charlie Gibbs,PMLS,,,2021-01-09,Andrew Simon,https://www.inaturalist.org/observations/67834429,,464813,WOR
Dodecaceria fewkesi,"Berkeley & Berkeley, 1954",,fringed filament-worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Cirratuliformia,,Cirratulidae,,Dodecaceria,,native,unlisted,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763488,,192656,WOR
Neoleprea spiralis,"(Johnson, 1901)",,spaghetti worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Terebellomorpha,,Terebellidae,Terebellinae,Neoleprea,,native,unlisted,reported,unobserved,1986-09-30,,RBCM,986-00197-015,1898316402,,,,,1136118,WOR
Pista elongata,"Moore, 1909",,basket-top spaghetti worm,Animalia,Annelida,,,Polychaeta,Canalipalpata,,Terebellida,Terebellomorpha,,Terebellidae,Terebellinae,Pista,,native,unlisted,reported,unobserved,1993-08-16,Andy Lamb,PMLS,,,,,,,338339,WOR
Thelepus spp.,,,curly-head spaghetti worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Terebellomorpha,,Terebellidae,Thelepodinae,Thelepus,,,,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,,117588,WOR
Chaetopterus variopedatus complex,"Cuvier, 1827",,U-shaped parchment tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,Chaetopteridae,,Chaetopterus,,,,reported,unobserved,2006-03-05,Andy Lamb,PMLS,,,,,,,171303,WOR
Spiochaetopterus costarum pottsi,"(Berkeley, 1927)",,jointed three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,Chaetopteridae,,Spiochaetopterus,,native,unlisted,reported,unobserved,1985-12-07,Andy Lamb,PMLS,,,,,,misspelled Spiochaeopterus costarum,552559,WOR
Agelenopsis sp.,,,grass spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,Agelenopsis,,,,new 2016,observed,,,,,,2016-08-15,Andrew Simon,http://www.inaturalist.org/observations/3903554,,82116,ART
Eratigena agrestis,"(Walckenaer, 1802)",,hobo spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,Eratigena,,exotic,unlisted,new 2016,observed,,,,,,2016-08-15,Andrew Simon,http://www.inaturalist.org/observations/3897194,,454859,ART
Eratigena duellica,"Simon, 1875",,giant house spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,Eratigena,,exotic,unlisted,confirmed,observed,2002-12-25,Robb Bennett,RBCM,ENT006-005799,,2014-06-21,Andrew Simon,http://www.inaturalist.org/observations/748881,,750907,ART
Tegenaria domestica,"(Clerck, 1757)",,barn funnel weaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,Tegenaria,,exotic,unlisted,reported,unobserved,2002-12-25,Robb Bennett,RBCM,ENT006-005799,,,,,,153507,ART
Callobius pictus,"(Simon, 1884)",,truncated laceweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Amaurobioidea,Amaurobiidae,,Callobius,,native,S5 (2018),new 2016,observed,,,,,,2016-08-14,Andrew Simon,http://www.inaturalist.org/observations/3895260,,199277,ART
Callobius severus,"(Simon, 1884)",,west coast laceweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Amaurobioidea,Amaurobiidae,,Callobius,,native,S5 (2018),confirmed,observed,1984-04-20,Geoffrey G.E. Scudder,SEM,SEM-UBC SPI-0014,,2016-09-11,Andrew Simon,http://www.inaturalist.org/observations/4092193,,49549,ART
Antrodiaetus pacificus,"(Simon, 1884)",,common foldingdoor spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Mygalomorphae,Atypoidea,Antrodiaetidae,,Antrodiaetus,,native,S5 (2018),new 2017,observed,,,,,,2017-09-04,Andrew Simon,https://www.inaturalist.org/observations/8173993,,199276,ART
Anyphaena aperta,"(Banks, 1921)",,west coast ghost spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Anyphaenidae,,Anyphaena,,native,S4 (2018),confirmed,observed,1983-04-30,Geoffrey G.E. Scudder,SEM,SEM-UBC SPI-0748,,2017-05-31,Andrew Simon,https://www.inaturalist.org/observations/8172198,,213821,ART
Araneus diadematus,"Clerck, 1758",,cross orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,Araneus,,exotic,unlisted,new 2015,observed,,,,,,2012-09-13,Rolando Lampitoc,http://www.inaturalist.org/observations/4021751,,52628,ART
Araneus saevus,,,fierce orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,Araneus,,native,S5 (2018),new 2018,observed,,,,,,2018-10-30,Christian Adler,https://www.inaturalist.org/observations/17976527,,122290,ART
Araneus trifolium,"(Hentz, 1847)",,shamrock orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,Araneus,,native,S5 (2018),new 2018,observed,,,,,,2018-07-13,Marty Moser,https://www.inaturalist.org/observations/15144584,,119122,ART
Araniella displicata,"(Hentz, 1847)",,six-spotted orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,Araniella,,native,S5 (2018),new 2018,observed,,,,,,2018-05-25,Andrew Simon,https://www.inaturalist.org/observations/12820090,,81984,ART
Cyclosa conica,,,conical trashline orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,Cyclosa,,native,S5 (2018),new 2018,observed,,,,,,2018-05-23,Andrew Simon,https://www.inaturalist.org/observations/12762560,,205888,ART
Cyclosa sp.,,,trashline orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,Cyclosa,,,,new 2019,observed,,,,,,2018-05-23,Andrew Simon,https://www.inaturalist.org/observations/12762560,,127360,ART
Larinioides cornutus,"(Clerck, 1757)",,furrow orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,Larinioides,,native,S5 (2018),new 2017,observed,,,,,,2017-04-15,Andrew Simon,https://www.inaturalist.org/observations/5784843,,126513,ART
Larinioides sclopetarius,,,grey cross spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,Larinioides,,exotic,unlisted,new 2017,observed,,,,,,2017-04-15,Andrew Simon,https://www.inaturalist.org/observations/5784843,,538959,ART
Neoscona crucifera,"(Lucas, 1839)",,spotted orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,Neoscona,,,,new 2018,observed,,,,,,2018-10-22,Kevin Toomer,https://www.inaturalist.org/observations/17752494,,85034,ART
Zygiella sp.,,,,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Zygiellinae,Zygiella,,,,new 2019,observed,,,,,,2019-09-17,Dave “Zeuss” Cochrane,https://www.inaturalist.org/observations/33261095,,141755,ART
Castianeira longipalpa,"(Hentz, 1847)",,common ant-mimic,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Corinnoidea,Corinnidae,,Castianeira,,native,S5 (2018),new 2016,observed,,,,,,2016-09-01,Andrew Simon,http://www.inaturalist.org/observations/4017046,,70300,ART
Castianeira walsinghami,"(O. P.-Cambridge, 1874)",,Walsingham ant-mimic,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Corinnoidea,Corinnidae,,Castianeira,,native,S5 (2018),new 2018,observed,,,,,,2018-07-30,Tyson Ehlers,https://www.inaturalist.org/observations/15113061,,216170,ART
Cybaeota shastae,"Chamberlin & Ivie, 1937",,western cryptic woodland spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Cybaeidae,,Cybaeota,,native,S5 (2018),reported,unobserved,2016-09-04,RBCM BC Spider Database,RBCM,,,,,,,217950,ART
Cybaeus morosus,"Simon, 1886",,northwest woodland spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Cybaeidae,,Cybaeus,,native,S5 (2018),reported,unobserved,1991-09-02,Geoffrey G.E. Scudder,SEM,SEM-UBC SPI-0281,,,,,,217953,ART
Cybaeus signifer,"Simon, 1886",,night-hunting woodland spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Cybaeidae,,Cybaeus,,native,S5 (2018),new 2016,observed,,,,,,2016-07-26,Andrew Simon,http://www.inaturalist.org/observations/3766333,,52949,ART
Ethobuella tuonops,"Chamberlin & Ivie, 1937",,big-eyed forest litter spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Cybaeidae,,Ethobuella,,native,S4S5 (2018),reported,unobserved,2012-05-09,Robb Bennett,RBCM,ENT012-017152,,,,,,219592,ART
Dysdera crocata,"C. L. Koch, 1838",,slater slayer,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dysderoidea,Dysderidae,,Dysdera,,exotic,unlisted,confirmed,observed,2016-09-04,RBCM BC Spider Database,RBCM,,,2016-07-09,Andrew Simon,http://www.inaturalist.org/observations/3652611,,68912,ART
Gnaphosa sp.,,,gnaphosid spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Gnaphosoidea,Gnaphosidae,,Gnaphosa,,,,new 2018,observed,,,,,,2018-10-20,Andrew Simon,https://www.inaturalist.org/observations/17693171,,153645,ART
Sergiolus columbianus,"(Emerton, 1917)",,western patterened ant-mimic,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Gnaphosoidea,Gnaphosidae,,Sergiolus,,native,S5 (2018),new 2014,observed,,,,,,2014-06-09,Andrew Simon,http://www.inaturalist.org/observations/728018,,230819,ART
Cicurina tersa,"Simon, 1886",,western small-eared littleweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Hahniidae,,Cicurina,,native,S5 (2018),reported,unobserved,2016-09-04,RBCM BC Spider Database,RBCM,,,,,,,217002,ART
Ceratinops inflatus,"(Emerton, 1923)",,high-headed rugose money spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,Ceratinops,,native,S4S5 (2018),reported,unobserved,2012-05-09,Robb Bennett,RBCM,ENT012-017151,,,,,,216458,ART
Drapetisca alteranda,"Chamberlin, 1909",,northern long-toothed sheetweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,Drapetisca,,native,SU (2018),new 2018,observed,,,,,,2017-11-20,Andrew Simon,https://www.inaturalist.org/observations/8906217,,218702,ART
Microlinyphia sp.,,,dwarf weaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,Microlinyphia,,,,new 2016,observed,,,,,,2016-06-23,Andrew Simon,http://www.inaturalist.org/observations/3512983,,172535,ART
Neriene digna,"(Keyserling, 1886)",,eared western dome spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,Neriene,,native,S5 (2018),confirmed,observed,2007-12-26,Robb Bennett,RBCM,ENT009-004640,,2016-06-23,Andrew Simon,http://www.inaturalist.org/observations/3512994,,225813,ART
Neriene litigiosa,,,Sierra dome spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,Linyphiinae,Neriene,,native,S5 (2018),new 2018,observed,,,,,,2018-09-08,Andrew Simon,https://www.inaturalist.org/observations/16339980,,209814,ART
Pityohyphantes sp.,,,dwarf weaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,Pityohyphantes,,,,new 2017,observed,,,,,,2017-05-31,Andrew Simon,https://www.inaturalist.org/observations/8171933,,153447,ART
Scotinotylus patellatus,"(Emerton, 1917)",,west coast corkscrew money spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,Scotinotylus,,native,S4S5 (2018),reported,unobserved,2016-09-04,RBCM BC Spider Database,RBCM,,,,,,,230703,ART
Spirembolus mundus,"Millidge, 1980",,northwestern corkscrew money spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,Spirembolus,,native,SU (2018),reported,unobserved,2016-09-04,RBCM BC Spider Database,RBCM,,,,,,,231417,ART
Tachygyna vancouverana,"Chamberlin & Ivie, 1939",,Vancouver spinster,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,Tachygyna,,native,S5 (2018),new 2019,observed,,,,,,2019-04-26,Andrew Simon,https://www.inaturalist.org/observations/24351458,,232223,ART
Tenuiphantes zelatus,"(Zorsch, 1937)",,enthusiastic thin sheetweaver spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,Tenuiphantes,,native,S5 (2018),reported,unobserved,2012-05-09,Robb Bennett,RBCM,ENT012-017150,,,,,,455054,ART
Wubana pacifica,"(Banks, 1896)",,dark unicorn,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,Wubana,,native,S5 (2018),reported,unobserved,2016-09-04,RBCM BC Spider Database,RBCM,,,,,,,233674,ART
Alopecosa kochi,"(Keyserling, 1877)",,koch fox spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,Alopecosa,,native,S5 (2018),new 2017,observed,,,,,,2017-03-25,Andrew Simon,https://www.inaturalist.org/observations/5471889,,143470,ART
Pardosa dorsuncata,"Lowrie & Dondale, 1981",,western leopard spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,Pardosa,,native,S5 (2018),reported,unobserved,1985-05-05,Geoffrey G.E. Scudder,SEM,SEM-UBC SPI-0437,,,,,,227171,ART
Pardosa lowriei,"Kronestedt, 1975",,Lowrie leopard spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,Pardosa,,native,S5 (2018),reported,unobserved,1985-05-05,Geoffrey G.E. Scudder,SEM,SEM-UBC SPI-0447,,,,,,227180,ART
Pardosa vancouveri,"Emerton, 1917",,Vancouver leopard spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,Pardosa,,native,S4S5 (2018),confirmed,observed,1975-04-16,J. Spence,RBCM,ENT991-057062,,2017-05-31,Andrew Simon,https://www.inaturalist.org/observations/8172357,,227200,ART
