Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Origin,Status,Reporting,Documenting,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Documented,Documenter,iNaturalist Link,Notes,ID,Stats Code
Protocystis sp.,,,filose amoeba,Chromista,Bigyra,,,Labyrinthulea,,,Phaeodaria,,,Challengeridae,,,Protocystis,unlisted,unlisted,new 2016,observed,,,,,,2016-01-18,Mark Webber,https://www.inaturalist.org/observations/4849188,,521012,ALG
Tintinnopsis sp.,,,ciliate,Chromista,Ciliophora,,,Oligotrichea,,,Choreotrichida,,,Codonellidae,,,Tintinnopsis,unlisted,unlisted,new 2005,observed,,,,,,2005-07-01,Mark Webber,https://www.inaturalist.org/observations/4848931,,485979,ALG
Dinophysis acuminata,Claparède & Lachmann,,dinoflagellate,Chromista,Miozoa,,,Dinophyceae,,,Dinophysiales,,,Dinophysiaceae,,,Dinophysis,unlisted,unlisted,new 2012,observed,,,,,,2012-08-05,Mark Webber,https://www.inaturalist.org/observations/4849148,,320121,ALG
Phalacroma rotundatum,(Claparéde & Lachmann) Kofoid & Michener,,dinoflagellate,Chromista,Miozoa,,,Dinophyceae,,,Dinophysiales,,,Dinophysiaceae,,,Phalacroma,unlisted,unlisted,new 2006,observed,,,,,,2006-01-18,Mark Webber,https://www.inaturalist.org/observations/5197633,,320131,ALG
Ceratium fusus,(Ehrenberg) Dujardin,,dinoflagellate,Chromista,Miozoa,,,Dinophyceae,,,Gonyaulacales,,,Ceratiaceae,,,Ceratium,unlisted,unlisted,new 2005,observed,,,,,,2005-07-14,Mark Webber,https://www.inaturalist.org/observations/4848820,,203749,ALG
Ceratium lineatum,(Ehrenberg) Cleve,,dinoflagellate,Chromista,Miozoa,,,Dinophyceae,,,Gonyaulacales,,,Ceratiaceae,,,Ceratium,unlisted,unlisted,new 2006,observed,,,,,,2006-01-21,Mark Webber,https://www.inaturalist.org/observations/9291462,,345251,ALG
Achnanthes sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,,,Acnanthales,,,Achnanthaceae,,,Achnanthes,unlisted,unlisted,new 2004,observed,,,,,,2004-07-22,Mark Webber,https://www.inaturalist.org/observations/5197598,,339308,ALG
Cocconeis sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,,,Acnanthales,,,Cocconeidaceae,,,Cocconeis,unlisted,unlisted,new 2005,observed,,,,,,2005-07-19,Mark Webber,https://www.inaturalist.org/observations/5197578,,339306,ALG
Arachnoidiscus schmidtii,Hajós,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Arachnoidiscales,,,Arachnoidiscaceae,,,Arachnoidiscus,unlisted,unlisted,new 2005,observed,,,,,,2005-01-31,Mark Webber,https://www.inaturalist.org/observations/4874715,,521732,ALG
Asteromphalus heptactis,(Brébisson) Ralfs,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Asterolamprales,,,Asterolampraceae,,,Asteromphalus,unlisted,unlisted,new 2007,observed,,,,,,2007-07-13,Mark Webber,https://www.inaturalist.org/observations/4874751,,521735,ALG
Cylindrotheca closterium,(Ehrenberg) Reimann & J.C.Lewin,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Cylindrotheca,unlisted,unlisted,new 2006,observed,,,,,,2006-01-11,Mark Webber,https://www.inaturalist.org/observations/50303688,,203739,ALG
Ephemera cf planamembranacea,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Ephemera,unlisted,unlisted,new 2008,observed,,,,,,2008-07-19,Mark Webber,https://www.inaturalist.org/observations/4856515,reported as Ephemera cf plana,,ALG
Fragilariopsis cf oceanica,(Cleve) Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Fragilariopsis,unlisted,unlisted,new 2006,observed,,,,,,2006-01-24,Mark Webber,https://www.inaturalist.org/observations/5197620,,,ALG
Nitzschia longissima,(Brébisson) Ralfs,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Nitzschia,unlisted,unlisted,new 2006,observed,,,,,,2006-01-11,Mark Webber,https://www.inaturalist.org/observations/50303688,,469821,ALG
Pseudo-nitzschia cf fraudulenta,(Cleve) Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Pseudo-nitzschia,unlisted,unlisted,new 2006,observed,,,,,,2006-01-20,Mark Webber,https://www.inaturalist.org/observations/4873093,,,ALG
