Common name,Taxon name,Date observed,Description,Place name,Latitude,Longitude,Tags,Geoprivacy,Max. depth,Bottom time
yellow-green encrusting sponge,Halichondria panicea,1968-08-02T15:00:00,collected,Baines Bay,49.005,-123.585,,open,15,60
short plumose anemone,Metridium senile,1968-08-02T15:00:00,collected,Baines Bay,49.005,-123.585,,open,15,60
wine-glass hydroids,Obelia spp.,1968-08-02T15:00:00,,Baines Bay,49.005,-123.585,,open,15,60
Pacific blue mussel,Mytilus trossulus,1968-08-02T15:00:00,,Baines Bay,49.005,-123.585,,open,15,60
noble sea lemon,Doris nobilis,1968-08-02T15:00:00,Archidoris montereyensis?  collected,Baines Bay,49.005,-123.585,,open,15,60
Monterey sea lemon,Doris montereyensis,1968-08-02T15:00:00,Anisodoris nobilis?  collected,Baines Bay,49.005,-123.585,,open,15,60
Bering hermit,Pagurus beringanus,1968-08-02T15:00:00,,Baines Bay,49.005,-123.585,,open,15,60
mottled star,Evasterias troschelii,1968-08-02T15:00:00,,Baines Bay,49.005,-123.585,,open,15,60
blackeye goby,Rhinogobiops nicholsii,1968-08-02T15:00:00,,Baines Bay,49.005,-123.585,,open,15,60
copper rockfish,Sebastes caurinus,1968-08-02T15:00:00,,Baines Bay,49.005,-123.585,,open,15,60
kelp greenling,Hexagrammos decagrammus,1968-08-02T15:00:00,,Baines Bay,49.005,-123.585,,open,15,60
lingcod,Ophiodon elongatus,1968-08-02T15:00:00,,Baines Bay,49.005,-123.585,,open,15,60
padded sculpin,Artedius fenestralis,1968-08-02T15:00:00,,Baines Bay,49.005,-123.585,,open,15,60
short plumose anemone,Metridium senile,1969-02-21T11:00:00,,Retreat Cove,48.94,-123.5,,open,70,75
orange cup coral,Balanophyllia elegans,1969-02-21T11:00:00,,Retreat Cove,48.94,-123.5,,open,70,75
orange sea pen,Ptilosarcus gurneyi,1969-02-21T11:00:00,collected,Retreat Cove,48.94,-123.5,,open,70,75
red-trumpet calcareous tubeworm,Serpula columbiana,1969-02-21T11:00:00,,Retreat Cove,48.94,-123.5,,open,70,75
fringed filament-worm,Dodecaceria fewkesi,1969-02-21T11:00:00,collected,Retreat Cove,48.94,-123.5,,open,70,75
Vancouver feather-duster,Eudistylia vancouveri,1969-02-21T11:00:00,collected,Retreat Cove,48.94,-123.5,,open,70,75
split-branch feather-duster,Schizobranchia insignis,1969-02-21T11:00:00,collected,Retreat Cove,48.94,-123.5,,open,70,75
pink scallop,Chlamys sp.,1969-02-21T11:00:00,"collected, with Mycale/Myxilla",Retreat Cove,48.94,-123.5,,open,70,75
giant rock scallop,Crassadoma gigantea,1969-02-21T11:00:00,collected,Retreat Cove,48.94,-123.5,,open,70,75
rough keyhole limpet,Diodora aspera,1969-02-21T11:00:00,collected,Retreat Cove,48.94,-123.5,,open,70,75
wrinkled dogwinkle,Nucella lamellosa,1969-02-21T11:00:00,,Retreat Cove,48.94,-123.5,,open,70,75
noble sea lemon,Doris nobilis,1969-02-21T11:00:00,Archidoris montereyensis?  collected,Retreat Cove,48.94,-123.5,,open,70,75
Monterey sea lemon,Doris montereyensis,1969-02-21T11:00:00,Anisodoris nobilis?  collected,Retreat Cove,48.94,-123.5,,open,70,75
giant nudibranch,Dendronotus iris,1969-02-21T11:00:00,collected,Retreat Cove,48.94,-123.5,,open,70,75
frosted nudibranch,Dirona albolineata,1969-02-21T11:00:00,collected,Retreat Cove,48.94,-123.5,,open,70,75
opalescent nudibranch,Hermissenda crassicornis,1969-02-21T11:00:00,collected,Retreat Cove,48.94,-123.5,,open,70,75
sharpnose crab,Scyra acutifrons,1969-02-21T11:00:00,collected,Retreat Cove,48.94,-123.5,,open,70,75
heart crab,Phyllolithodes papillosus,1969-02-21T11:00:00,collected,Retreat Cove,48.94,-123.5,,open,70,75
blackeyed hermit,Pagurus armatus,1969-02-21T11:00:00,collected,Retreat Cove,48.94,-123.5,,open,70,75
giant acorn barnacle,Balanus nubilus,1969-02-21T11:00:00,,Retreat Cove,48.94,-123.5,,open,70,75
purple star or ochre star,Pisaster ochraceus,1969-02-21T11:00:00,,Retreat Cove,48.94,-123.5,,open,70,75
giant pink star,Pisaster brevispinus,1969-02-21T11:00:00,,Retreat Cove,48.94,-123.5,,open,70,75
mottled star,Evasterias troschelii,1969-02-21T11:00:00,,Retreat Cove,48.94,-123.5,,open,70,75
rainbow star,Orthasterias koehleri,1969-02-21T11:00:00,collected,Retreat Cove,48.94,-123.5,,open,70,75
leather star,Dermasterias imbricata,1969-02-21T11:00:00,,Retreat Cove,48.94,-123.5,,open,70,75
ridged blood star,Henricia aspera aspera,1969-02-21T11:00:00,collected,Retreat Cove,48.94,-123.5,,open,70,75
sunflower star,Pycnopodia helianthoides,1969-02-21T11:00:00,,Retreat Cove,48.94,-123.5,,open,70,75
rose star,Crossaster papposus,1969-02-21T11:00:00,collected,Retreat Cove,48.94,-123.5,,open,70,75
morning sun star,Solaster dawsoni,1969-02-21T11:00:00,collected,Retreat Cove,48.94,-123.5,,open,70,75
striped sun star,Solaster stimpsoni,1969-02-21T11:00:00,,Retreat Cove,48.94,-123.5,,open,70,75
red sea urchin,Mesocentrotus franciscanus,1969-02-21T11:00:00,collected,Retreat Cove,48.94,-123.5,,open,70,75
green sea urchin,Strongylocentrotus droebachiensis,1969-02-21T11:00:00,,Retreat Cove,48.94,-123.5,,open,70,75
giant sea cucumber,Apostichopus californicus,1969-02-21T11:00:00,,Retreat Cove,48.94,-123.5,,open,70,75
red sea cucumber,Cucumaria miniata,1969-02-21T11:00:00,,Retreat Cove,48.94,-123.5,,open,70,75
transparent tunicate,Corella willmeriana,1969-02-21T11:00:00,,Retreat Cove,48.94,-123.5,,open,70,75
glassy tunicate,Ascidia paratropa,1969-02-21T11:00:00,,Retreat Cove,48.94,-123.5,,open,70,75
broadbase tunicate,Cnemidocarpa finmarkiensis,1969-02-21T11:00:00,,Retreat Cove,48.94,-123.5,,open,70,75
blackeye goby,Rhinogobiops nicholsii,1969-02-21T11:00:00,,Retreat Cove,48.94,-123.5,,open,70,75
copper rockfish,Sebastes caurinus,1969-02-21T11:00:00,,Retreat Cove,48.94,-123.5,,open,70,75
kelp greenling,Hexagrammos decagrammus,1969-02-21T11:00:00,,Retreat Cove,48.94,-123.5,,open,70,75
lingcod,Ophiodon elongatus,1969-02-21T11:00:00,,Retreat Cove,48.94,-123.5,,open,70,75
scalyhead sculpin,Artedius harringtoni,1969-02-21T11:00:00,,Retreat Cove,48.94,-123.5,,open,70,75
longfin sculpin,Jordania zonope,1969-02-21T11:00:00,,Retreat Cove,48.94,-123.5,,open,70,75
yellow-green encrusting sponge,Halichondria panicea,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
short plumose anemone,Metridium senile,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
painted anemone,Urticina grebelnyi,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
stubby rose anemone,Urticina clandestina,1969-02-22T12:00:00,,Sturdies Bay,48.87333,-123.31167,,open,20,120
green ribbon worm,Emplectonema gracile,1969-02-22T12:00:00,,Sturdies Bay,48.87333,-123.31167,,open,20,120
six-lined ribbon worm,Tubulanus sexlineatus,1969-02-22T12:00:00,,Sturdies Bay,48.87333,-123.31167,,open,20,120
eighteen-scaled worm,Halosydna brevisetosa,1969-02-22T12:00:00,collected,Sturdies Bay,48.87333,-123.31167,,open,20,120
goddess-worms,Nephtys spp.,1969-02-22T12:00:00,Nereis diversicolor,Sturdies Bay,48.87333,-123.31167,,open,20,120
