"Taxon","Reported","Confirmed","New","Total","Prop.confirmed","Prop.new","new.2015","new.2016","new.2017","new.2018","new.2019","new.2020","new.2021","new.2022","new.2023","new.prior.2015"
"BAC",0,0,5,5,NA,1,0,2,2,0,0,0,0,0,1,0
"PRO",4,3,17,24,0.428571428571429,0.708333333333333,0,0,7,1,3,1,2,3,0,0
"FUN",231,171,103,505,0.425373134328358,0.203960396039604,4,6,10,12,13,10,28,9,8,3
"LIC",57,113,111,281,0.664705882352941,0.395017793594306,16,15,37,12,0,5,19,3,2,2
"ALG",33,23,259,315,0.410714285714286,0.822222222222222,8,14,8,0,34,93,4,9,13,76
"BRY",21,110,59,190,0.83969465648855,0.310526315789474,1,9,11,9,1,8,13,5,0,2
"VAS",107,500,195,802,0.823723228995058,0.243142144638404,11,41,40,21,16,17,8,31,7,3
"POR",29,10,1,40,0.256410256410256,0.025,0,0,0,0,0,0,0,0,0,1
"CNI",37,37,7,81,0.5,0.0864197530864197,1,0,0,0,0,1,2,0,0,3
"WOR",31,22,9,62,0.415094339622642,0.145161290322581,0,0,1,0,3,0,1,4,0,0
"MOL",92,86,63,241,0.48314606741573,0.261410788381743,4,13,4,6,5,2,3,2,2,22
"ART",411,229,860,1500,0.3578125,0.573333333333333,11,67,151,133,148,23,43,80,176,28
"LOP",10,8,2,20,0.444444444444444,0.1,0,0,0,0,1,0,0,0,0,1
"ECH",15,25,2,42,0.625,0.0476190476190476,0,0,0,0,0,0,0,0,1,1
"TUN",19,12,1,32,0.387096774193548,0.03125,0,0,0,0,0,0,0,0,0,1
"FIS",21,56,11,88,0.727272727272727,0.125,0,0,3,0,0,1,1,3,2,1
"HER",1,5,6,12,0.833333333333333,0.5,0,3,0,0,0,0,0,0,0,3
"BIR",40,142,8,190,0.78021978021978,0.0421052631578947,0,1,1,0,1,2,1,1,1,0
"MAM",5,14,22,41,0.736842105263158,0.536585365853659,1,4,2,10,1,2,1,0,0,1
"TOTAL",1164,1566,1741,4471,0.573626373626374,0.389398344889287,57,175,277,204,226,165,126,150,213,148
