"regionField","id","label"
BLM District Boundaries,1,Boise District Office
BLM District Boundaries,2,Burns District Office
BLM District Boundaries,3,Coeur d'Alene District Office
BLM District Boundaries,4,Coos Bay District Office
BLM District Boundaries,5,Lakeview District Office
BLM District Boundaries,6,Medford District Office
BLM District Boundaries,7,Northern California District
BLM District Boundaries,8,Nw Oregon District Office
BLM District Boundaries,9,Prineville District Office
BLM District Boundaries,10,Roseburg District Office
BLM District Boundaries,11,Spokane District Office
BLM District Boundaries,12,Vale District Office
BLM District Boundaries,13,Winnemucca District
BLM Field Office Boundaries,1,Arcata Field Office
BLM Field Office Boundaries,2,Burns Andrews Field Office
BLM Field Office Boundaries,3,Burns Three Rivers Field Office
BLM Field Office Boundaries,4,Coos Bay Myrtlewood Field Office
BLM Field Office Boundaries,5,Coos Bay Umpqua Field Office
BLM Field Office Boundaries,6,Cottonwood Field Office
BLM Field Office Boundaries,7,Four Rivers Field Office
BLM Field Office Boundaries,8,Humboldt River Field Office
BLM Field Office Boundaries,9,Lakeview District Lakeview Field Offi
BLM Field Office Boundaries,10,Lakeview Klamath Falls Field Office
BLM Field Office Boundaries,11,Medford Ashland Field Office
BLM Field Office Boundaries,12,Medford Butte Falls Field Office
BLM Field Office Boundaries,13,Medford Grants Pass Field Office
BLM Field Office Boundaries,14,Nw Oregon Cascades Field Office
BLM Field Office Boundaries,15,Nw Oregon Marys Peak Field Office
BLM Field Office Boundaries,16,Nw Oregon Siuslaw Field Office
BLM Field Office Boundaries,17,Nw Oregon Tillamook Field Office
BLM Field Office Boundaries,18,Nw Oregon Upper Willamette Field Office
BLM Field Office Boundaries,19,Prineville Central Oregon Field Offic
BLM Field Office Boundaries,20,Prineville Deschutes Field Office
BLM Field Office Boundaries,21,Redding Field Office
BLM Field Office Boundaries,22,Roseburg District South River Fo
BLM Field Office Boundaries,23,Roseburg District Swiftwater Fo
BLM Field Office Boundaries,24,Spokane Border Field Office
BLM Field Office Boundaries,25,Spokane Wenatchee Field Office
BLM Field Office Boundaries,26,Vale Baker Field Office
BLM Field Office Boundaries,27,Vale Malheur Field Office
US Ecoregions Level IV,1,1a. Coastal Lowlands
US Ecoregions Level IV,2,1b. Coastal Uplands
US Ecoregions Level IV,3,1d. Volcanics
US Ecoregions Level IV,4,1f. Willapa Hills
US Ecoregions Level IV,5,1g. Mid-Coastal Sedimentary
US Ecoregions Level IV,6,1h. Southern Oregon Coastal Mountains
US Ecoregions Level IV,7,3a. Portland/Vancouver Basin
US Ecoregions Level IV,8,3b. Willamette River and Tributaries Gallery Forest
US Ecoregions Level IV,9,3c. Prairie Terraces
US Ecoregions Level IV,10,3d. Valley Foothills
US Ecoregions Level IV,11,4a. Western Cascades Lowlands and Valleys
US Ecoregions Level IV,12,4b. Western Cascades Montane Highlands
US Ecoregions Level IV,13,4c. Cascade Crest Montane Forest
US Ecoregions Level IV,14,4d. Cascade Subalpine/Alpine
US Ecoregions Level IV,15,4e. High Southern Cascades Montane Forest
US Ecoregions Level IV,16,4f. Low Southern Cascades Mixed Conifer Forest
US Ecoregions Level IV,17,9c. Oak/Conifer Foothills
US Ecoregions Level IV,18,9b. Grand Fir Mixed Forest
US Ecoregions Level IV,19,9d. Ponderosa Pine/Bitterbrush Woodland
US Ecoregions Level IV,20,9e. Pumice Plateau
US Ecoregions Level IV,21,9f. Pumice Plateau Basins
US Ecoregions Level IV,22,9g. Klamath/Goose Lake Basins
US Ecoregions Level IV,23,9h. Fremont Pine/Fir Forest
US Ecoregions Level IV,24,9i. Southern Cascades Slope
US Ecoregions Level IV,25,9j. Klamath Juniper Woodland/Devils Garden
US Ecoregions Level IV,26,9t. Old Cascades
US Ecoregions Level IV,27,9m. Warner Mountains
US Ecoregions Level IV,28,10e. Pleistocene Lake Basins
US Ecoregions Level IV,29,10f. Dissected Loess Uplands
US Ecoregions Level IV,30,10c. Umatilla Plateau
US Ecoregions Level IV,31,10g. Yakima Folds
US Ecoregions Level IV,32,10i. Deep Loess Foothills
US Ecoregions Level IV,33,10k. Deschutes/John Day Canyons
US Ecoregions Level IV,34,10n. Umatilla Dissected Uplands
US Ecoregions Level IV,35,11e. Wallowas/Seven Devils Mountains
US Ecoregions Level IV,36,11g. Canyons and Dissected Uplands
US Ecoregions Level IV,37,11i. Continental Zone Foothills
US Ecoregions Level IV,38,11a. John Day/Clarno Uplands
US Ecoregions Level IV,39,11b. John Day/Clarno Highlands
US Ecoregions Level IV,40,11c. Maritime-Influenced Zone
US Ecoregions Level IV,41,11d. Melange
US Ecoregions Level IV,42,11f. Canyons and Dissected Highlands
US Ecoregions Level IV,43,11h. Continental Zone Highlands
US Ecoregions Level IV,44,11k. Blue Mountain Basins
US Ecoregions Level IV,45,11l. Mesic Forest Zone
US Ecoregions Level IV,46,11m. Subalpine-Alpine Zone
US Ecoregions Level IV,47,11n. Deschutes River Valley
US Ecoregions Level IV,48,11o. Cold Basins
US Ecoregions Level IV,49,12a. Treasure Valley
US Ecoregions Level IV,50,12j. Unwooded Alkaline Foothills
US Ecoregions Level IV,51,78a. Rogue/Illinois/Scott Valleys
US Ecoregions Level IV,52,78b. Oak Savanna Foothills
US Ecoregions Level IV,53,78c. Umpqua Interior Foothills
US Ecoregions Level IV,54,78d. Serpentine Siskiyous
US Ecoregions Level IV,55,78e. Inland Siskiyous
US Ecoregions Level IV,56,78f. Coastal Siskiyous
US Ecoregions Level IV,57,78h. Border High-Siskiyous
US Ecoregions Level IV,58,78g. Klamath River Ridges
US Ecoregions Level IV,59,78i. Western Klamath Low Elevation Forests
US Ecoregions Level IV,60,80a. Dissected High Lava Plateau
US Ecoregions Level IV,61,80d. Pluvial Lake Basins
US Ecoregions Level IV,62,80e. High Desert Wetlands
US Ecoregions Level IV,63,80f. Owyhee Uplands and Canyons
US Ecoregions Level IV,64,80g. High Lava Plains
US Ecoregions Level IV,65,80j. Semiarid Uplands
US Ecoregions Level IV,66,80k. Partly Forested Mountains
US Ecoregions Level IV,67,80l. Salt Shrub Valleys
US Ecoregions Level IV,68,80m. Barren Playas
US Ecoregions Level III,1,1. Coast Range
US Ecoregions Level III,2,3. Willamette Valley
