id,occurrenceID,recordId,type,modified,language,license,rightsHolder,basisOfRecord,institutionID,collectionID,institutionCode,collectionCode,ownerInstitutionCode,informationWithheld,dataGeneralizations,catalogNumber,otherCatalogNumbers,scientificName,acceptedNameUsage,higherClassification,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,identificationQualifier,vernacularName,nomenclaturalCode,typeStatus,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,reproductiveCondition,establishmentMeans,occurrenceRemarks,dynamicProperties,recordedBy,recordNumber,fieldNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,higherGeography,countryCode,country,stateProvince,county,locality,habitat,verbatimElevation,minimumElevationInMeters,maximumElevationInMeters,verbatimDepth,minimumDepthInMeters,maximumDepthInMeters,verbatimCoordinates,geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferenceSources,georeferenceRemarks,Name,Description,geometry,_75,Name Status,Referred iNaturalist Id,Referred iNaturalist Name
155864,a59ae2a7-6622-45dc-9d6c-3ff12cbc6df6,3DBF712C-14EA-4ED3-BD93-04D89DAEE1BF,PhysicalObject,2016-10-27 08:13:23,en,https://creativecommons.org/publicdomain/zero/1.0/,NA,PreservedSpecimen,NA,NA,NA,NA,NA,NA,NA,363837,Accession: 363837,Cotoneaster sternianus,Cotoneaster sternianus,Rosaceae,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Cotoneaster,sternianus,NA,species,(Turrill) Boom,NA,NA,ICBN,NA,NA,NA,NA,NA,flowers,NA,"Adventive shrubs 0.5-1.5 meters tall, branches arching, seen wild in three sites, evergreen, leaves shiny, veins sunken, bulging between lateral veins, leaves 2.4-3.5 x 1.4-2.3 centimeters wide; 8-15 flowers/inflorescence; flowers 6.5-7.5 millimeters long; petals erect, pink, base red, mid-vein sometimes red, apex pale pink; 20 stamens; filaments pink-red, apex white; anthers white with pink sutures; 3-4 styles.<br/>Reference specimen for illustration in Revision of Flora of the Pacific Northwest, WTU Herbarium, 2015.",NA,Peter F. Zika,22769,NA,2006-06-14,2006,6,14,165,165,NA,"Canada, British Columbia",CA,Canada,British Columbia,NA,"Junction of Eagleridge Drive and TransCanada Highway (Exit 2), south of Horseshoe Bay.","Mossy cliffs and balds; full sun; with Arbutus, Cytisus, Holodiscus, Amelanchier alnifolia, Pseudotsua, Danthonia, Selaginella.",393 ft.,120,NA,NA,NA,NA,"49° 21.6' N,  123° 16.4' W",NA,NA,NA,NA,NA,Biodiversity Squamish boundary is the northern section south to Porteau Cove PP Border,,c(-123.273333, 49.36),accepted,791250,Cotoneaster sternianus
156742,64637765-b252-4d52-9b69-ac94f78587da,9E577C3E-75E7-4F06-AF16-2CCB097B004C,PhysicalObject,2015-04-04 04:30:05,en,https://creativecommons.org/publicdomain/zero/1.0/,NA,PreservedSpecimen,NA,NA,NA,NA,NA,NA,NA,365029,NA,Daphne laureola,Daphne laureola,Thymelaeaceae,Plantae,Tracheophyta,Magnoliopsida,Malvales,Thymelaeaceae,Daphne,laureola,NA,species,L.,NA,NA,ICBN,NA,NA,NA,NA,NA,fruits,NA,"Adventive evergreen shrubs 1 meter tall, occasional, fleshy leaves, immature fruit green ripe fruit black, 9.2-9.9 x 6.6-7.2 millimeters wide, slightly shiny, oblong or oblong-ellliptic; flesh green, juicy; see ovate 6.8-7 x 3.9-4 millimeters wide.",NA,Peter F. Zika,22768,NA,2006-06-14,2006,6,14,165,165,NA,"Canada, British Columbia",CA,Canada,British Columbia,NA,"Junction of Eagleridge Drive and TransCanada Highway (Exit 2), south of Horseshoe Bay.","Sunny cliff base, with Arbutus, Cytisus, Holodiscus, Amelianchier alnifolia, Pseudotsuga, Danthonia, Selaginella, mossy cliffs and balds.",393 ft.,120,NA,NA,NA,NA,"49° 21.6' N,  123° 16.4' W",NA,NA,NA,NA,NA,Biodiversity Squamish boundary is the northern section south to Porteau Cove PP Border,,c(-123.273333, 49.36),accepted,127391,Daphne laureola
157545,0cabfba5-1c42-43f9-80e6-b4042cb8368c,26E5AF7E-2B87-40F7-8FB7-3C173545D894,PhysicalObject,2015-04-04 04:30:06,en,https://creativecommons.org/publicdomain/zero/1.0/,NA,PreservedSpecimen,NA,NA,NA,NA,NA,NA,NA,365552,NA,Cotoneaster salicifolius,Cotoneaster salicifolius,Rosaceae,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Cotoneaster,salicifolius,NA,species,Franch.,NA,NA,ICBN,NA,NA,NA,NA,NA,flowers,NA,"Bird-sown adventive shrubs 1 meter tall, branches arching, seen wild in three sites (cultivated on highway), evergreen, leaves shiny, veins sunken, bulging between lateral veins, leaves 3 to 7 centimeters long by 0.9 to 1.8 centimeters wide. Flowers 7.5 to 9 millimeters in diameter; petals white, spreading; 20 stamens; filaments white; anthers red-purple; 2 to 3 syles.",NA,Peter F. Zika,22771,NA,2006-06-14,2006,6,14,165,165,NA,"Canada, British Columbia",CA,Canada,British Columbia,NA,"Junction of Eagleridge Drive and TransCanada Highway (Exit 2), south of Horseshoe Bay.","TransCanada Highway Exit 2, south of Horseshoe Bay. Full sun. With Arbutus, Cytisus, Holodiscus, Amelanchier alnifolia, Pseudotsuga, Danthonia, Selaginella, mossy cliffs and balds.",393 ft.,120,NA,NA,NA,NA,"49° 21.6' N,  123° 16.4' W",NA,NA,NA,NA,NA,Biodiversity Squamish boundary is the northern section south to Porteau Cove PP Border,,c(-123.273333, 49.36),accepted,337820,Cotoneaster salicifolius
157558,bd063397-371a-4e62-bafb-efc44cbea41f,710E6871-0A65-4AC9-8E2E-75F9CA89E298,PhysicalObject,2015-04-04 04:30:06,en,https://creativecommons.org/publicdomain/zero/1.0/,NA,PreservedSpecimen,NA,NA,NA,NA,NA,NA,NA,365553,NA,Cotoneaster horizontalis,Cotoneaster horizontalis,Rosaceae,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Cotoneaster,horizontalis,NA,species,Dcne.,NA,NA,ICBN,NA,NA,NA,NA,NA,fruits,NA,"Shrub 0.7 meters tall, deciduous. Leaves shiny and flat, 5 to 12 millimeters long by 4 to 10 millimeters wide; 1 flower per infl. Immature fruit obovate, 5 millimeters long, 10 stamens, 3 styles.",NA,Peter F. Zika,22765,NA,2006-06-14,2006,6,14,165,165,NA,"Canada, British Columbia",CA,Canada,British Columbia,NA,"Junction of Eagleridge Drive and TransCanada Highway (Exit 2), south of Horseshoe Bay.","Sprawling adventive on sunny cliffbase with Arbutus, Cytisus, Holodiscus, Amelanchier alnifolia, Pseudotsuga, Danthonia, Selaginella, mossy cliffs and balds.",393 ft.,120,NA,NA,NA,NA,"49° 21.6' N,  123° 16.4' W",NA,NA,NA,NA,NA,Biodiversity Squamish boundary is the northern section south to Porteau Cove PP Border,,c(-123.273333, 49.36),accepted,53771,Cotoneaster horizontalis
160507,d221a564-f227-451a-9fc8-491483be1e0d,EEA0CBD7-805B-4ADB-AFC0-759F88C0A9F6,PhysicalObject,2015-04-04 04:30:06,en,https://creativecommons.org/publicdomain/zero/1.0/,NA,PreservedSpecimen,NA,NA,NA,NA,NA,NA,NA,365905,NA,Cotoneaster lacteus,Cotoneaster lacteus,Rosaceae,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Cotoneaster,lacteus,NA,species,W.W. Sm.,NA,NA,ICBN,NA,NA,NA,NA,NA,flowers,NA,"Adventive arching shrub 1 meter tall; evergreen, leaves slightly shiny, veins sunken, leaf bulging between lateral veins; leaves 2.16 x 0.9-3 centimeters wide; old leaves orange; 12-58 flrs/infl.",NA,Peter F. Zika,22763,NA,2006-06-14,2006,6,14,165,165,NA,"Canada, British Columbia",CA,Canada,British Columbia,NA,"Junction of Eagleridge Drive and TransCanada Highway (Exit 2), south of Horseshoe Bay.","Mossy cliffs and balds, edge of gravelly disturbed ground, partial shade, with Arbutus, Cytisus, Holodiscus, Amelanchier alnifolia, Pseudotsuga, Danthonia, Selaginella.",393 ft.,120,NA,NA,NA,NA,"49° 21.6' N,  123° 16.4' W",NA,NA,NA,NA,NA,Biodiversity Squamish boundary is the northern section south to Porteau Cove PP Border,,c(-123.273333, 49.36),unaccepted,411074,Cotoneaster coriaceus
161904,45d699fc-b87f-4182-be73-1da3b89141ff,09A03D62-687B-4E70-B162-7D2B06982DBB,PhysicalObject,2015-04-04 04:30:07,en,https://creativecommons.org/publicdomain/zero/1.0/,NA,PreservedSpecimen,NA,NA,NA,NA,NA,NA,NA,365904,NA,Cotoneaster franchetii,Cotoneaster franchetii,Rosaceae,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Cotoneaster,franchetii,NA,species,Boiss.,NA,NA,ICBN,NA,NA,NA,NA,NA,flowers,NA,"Adventive arching shrub 1.5 meters tall; evergreen, leaves shiny, veins sunken, leaves shiny, veins sunken, leaves 1.9-5 x 1.1-2.4 centimeters wide; 5-10 flrs/infl; flowers 8 millimeters long; petals pink, erect' 20 stamens; filaments pink; anthers pink with dark pink sutures; styles 3; 2 long sepals and 3 shorter sepals.",NA,Peter F. Zika,22764,NA,2006-06-14,2006,6,14,165,165,NA,"Canada, British Columbia",CA,Canada,British Columbia,NA,"Junction of Eagleridge Drive and TransCanada Highway (Exit 2), south of Horseshoe Bay.","Shade of Pinus, with Arbutus, Cytisus, Holodiscus, Amelanchier alnifolia, Pseudotsuga, Danthonia, Selaginella, mossy cliffs and balds.",393 ft.,120,NA,NA,NA,NA,"49° 21.6' N,  123° 16.4' W",NA,NA,NA,NA,NA,Biodiversity Squamish boundary is the northern section south to Porteau Cove PP Border,,c(-123.273333, 49.36),accepted,1319212,Cotoneaster franchetii
166034,91b24d4e-e050-4135-be58-2e61c217fcbd,B81FA087-D2AE-47CF-8397-63D29F1D0C03,PhysicalObject,2015-04-04 04:30:08,en,https://creativecommons.org/publicdomain/zero/1.0/,NA,PreservedSpecimen,NA,NA,NA,NA,NA,NA,NA,368605,NA,Cotoneaster franchetii,Cotoneaster franchetii,Rosaceae,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Cotoneaster,franchetii,NA,species,Boiss.,NA,NA,ICBN,NA,NA,NA,NA,NA,vegetative,NA,"1.5 meter tall adventive evergreen shrub, leaves 19-25 x 7-12 millimeters wide, veins sunken.",NA,"P. F. Zika, Frank Lomer",23753,NA,2007-11-13,2007,11,13,317,317,NA,"Canada, British Columbia",CA,Canada,British Columbia,NA,"Near Exit 5 on Route 1, near junction of Westport Road and Northwood Drive, above the north shore of English Bay.","Thickets on south-facing granite ledges overgrown with Rubus armeniacus, Rubus ursinus, Alnus rubra, Buddleja, Arbutus menziesii.",574 ft.,175,NA,NA,NA,NA,"49° 21.1' N,  123° 15.1' W",NA,NA,NA,NA,NA,Biodiversity Squamish boundary is the northern section south to Porteau Cove PP Border,,c(-123.251667, 49.351667),accepted,1319212,Cotoneaster franchetii
166700,7ed56603-bf30-4254-9e23-b0be6794847f,131EE581-2AB2-4364-B17D-5B3E4A074342,PhysicalObject,2016-04-19 08:16:13,en,https://creativecommons.org/publicdomain/zero/1.0/,NA,PreservedSpecimen,NA,NA,NA,NA,NA,NA,NA,368662,Accession: 368662,Cotoneaster salicifolius,Cotoneaster salicifolius,Rosaceae,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Cotoneaster,salicifolius,NA,species,Franch.,NA,NA,ICBN,NA,NA,NA,NA,NA,fruits,NA,"Several adventive evergreen shrubs 3 meters tall, (also cultivated 75 meters to north), leaves 31-94 x 8-26 millimeters wide, purplish-green, rugose, veins sunken; 3-12 fruits/inflorescence; fruit red, obovoid, shiny, 6.7-9.2 x 5.5-7.9 millimeters wide; 2-3(4) seeds/fruit.<br/>Specimen used for illustration in Revision of Flora of the Pacific Northwest, WTU Herbarium, 2015.",NA,"P. F. Zika, Frank Lomer",23753,NA,2007-11-13,2007,11,13,317,317,NA,"Canada, British Columbia",CA,Canada,British Columbia,NA,"Near Exit 5 on Route 1, near junction of Westport Road and Northwood Drive, above the north shore of English Bay.","Thickets on south-facing granite ledges overgrown with Rubus armeniacus, Rubus ursinus, Alnus rubra, Buddleja, Arbutus menziesii.",574 ft.,175,NA,NA,NA,NA,"49° 21.1' N,  123° 15.1' W",NA,NA,NA,NA,NA,Biodiversity Squamish boundary is the northern section south to Porteau Cove PP Border,,c(-123.251667, 49.351667),accepted,337820,Cotoneaster salicifolius
166701,2b7fa306-ff50-4654-ab10-5dea2104f952,EBD490E1-4362-439B-9EB9-3981FE242786,PhysicalObject,2015-04-04 04:30:08,en,https://creativecommons.org/publicdomain/zero/1.0/,NA,PreservedSpecimen,NA,NA,NA,NA,NA,NA,NA,368663,NA,Cotoneaster sternianus,Cotoneaster sternianus,Rosaceae,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Cotoneaster,sternianus,NA,species,(Turrill) Boom,NA,NA,ICBN,NA,NA,NA,NA,NA,fruits,NA,"15 adventive evergreen shrubs 1-2 meters tall, (also cultivated 100 meters to north), leaves 19-36 x 11-23 millimeters wide, rugose, veins sunken; 1-8 fruits/inflorescence; fruit red-orange, base rounded, 6.9-9.4 x 7.1-9.8 millimeters wide; 2-4 seeds/fruit; seed 3.6-4.5 x 2.6-3.7 millimeters wide.",NA,"P. F. Zika, Frank Lomer",23754,NA,2007-11-13,2007,11,13,317,317,NA,"Canada, British Columbia",CA,Canada,British Columbia,NA,"Near Exit 5 on Route 1, near junction of Westport Road and Northwood Drive, above the north shore of English Bay.","Thickets on south-facing granite ledges overgrown with Rubus armeniacus, Rubus ursinus, Alnus rubra, Buddleja, Arbutus menziesii.",574 ft.,175,NA,NA,NA,NA,"49° 21.1' N,  123° 15.1' W",NA,NA,NA,NA,NA,Biodiversity Squamish boundary is the northern section south to Porteau Cove PP Border,,c(-123.251667, 49.351667),accepted,791250,Cotoneaster sternianus
166803,36049900-f131-4b6f-ac31-faff50de7e14,738DF0F0-5A93-4D19-8ADC-0DCEE8EE5615,PhysicalObject,2015-04-04 04:30:08,en,https://creativecommons.org/publicdomain/zero/1.0/,NA,PreservedSpecimen,NA,NA,NA,NA,NA,NA,NA,368805,NA,Cotoneaster horizontalis,Cotoneaster horizontalis,Rosaceae,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Cotoneaster,horizontalis,NA,species,Dcne.,NA,NA,ICBN,NA,NA,NA,NA,NA,fruits,NA,"Adventive deciduous shrubs 0.7 meter tall, leaves turn red, 6-11.2 x 4.6-8.2 millimeters wide; 1 fruit/inflorescence; fruit red, obovoid to broadly obovoid, 7.4-7.9 x 6-7.2 millimeters wide; 3 seeds/fruit; seed 3.1-4.2 x 2.3-3.2 millimeters wide.",NA,"P. F. Zika, Frank Lomer",23757,NA,2007-11-13,2007,11,13,317,317,NA,"Canada, British Columbia",CA,Canada,British Columbia,NA,"Near Exit 5 on Route 1, near junction of Westport Road and Northwood Drive, above the north shore of English Bay.","Thickets on south-facing granite ledges overgrown with Rubus armeniacus, Rubus ursinus, Alnus rubra, Buddleja, Arbutus menziesii.",574 ft.,175,NA,NA,NA,NA,"49° 21.1' N,  123° 15.1' W",NA,NA,NA,NA,NA,Biodiversity Squamish boundary is the northern section south to Porteau Cove PP Border,,c(-123.251667, 49.351667),accepted,53771,Cotoneaster horizontalis
