id,time_observed_at,observed_on,user_login,user_name,quality_grade,coordinates_obscured,image_url,positional_accuracy,scientific_name,common_name,captive,taxon_id,taxon_rank,latitude,longitude,private_latitude,private_longitude,phylum
1921287,2015-09-05T15:39:41-07:00,2015-09-05,rileypollom,Riley Pollom,needs_id,false,https://inaturalist-open-data.s3.amazonaws.com/photos/2348448/square.jpg,13,Pezizomycotina,Higher Ascomycetes,false,372740,subphylum,49.67711588,-123.14786999,,,Ascomycota
1921296,2015-09-05T15:49:03-07:00,2015-09-05,rileypollom,Riley Pollom,needs_id,false,https://inaturalist-open-data.s3.amazonaws.com/photos/2348500/square.jpg,24,Sphaerophorus,Coral Lichens,false,55243,genus,49.67748651,-123.1472434,,,Ascomycota
1921297,2015-09-05T15:50:45-07:00,2015-09-05,rileypollom,Riley Pollom,needs_id,false,https://inaturalist-open-data.s3.amazonaws.com/photos/2348503/square.jpg,10,Peltigera,pelt lichens,false,54294,genus,49.67748403,-123.1474303,,,Ascomycota
1921298,2015-09-05T15:51:39-07:00,2015-09-05,rileypollom,Riley Pollom,needs_id,false,https://inaturalist-open-data.s3.amazonaws.com/photos/2348511/square.jpg,20,Pezizomycotina,Higher Ascomycetes,false,372740,subphylum,49.67745831,-123.14736353,,,Ascomycota
2435096,2015-11-28T15:35:45-08:00,2015-11-28,rileypollom,Riley Pollom,needs_id,false,https://inaturalist-open-data.s3.amazonaws.com/photos/2714371/square.jpeg,10,Pezizomycotina,Higher Ascomycetes,false,372740,subphylum,49.33103003,-123.26666256,,,Ascomycota
3184560,2016-05-15T13:08:35-07:00,2016-05-15,rileypollom,Riley Pollom,needs_id,false,https://inaturalist-open-data.s3.amazonaws.com/photos/3684777/square.jpeg,5,Cladonia,Pixie Cup Lichens,false,49490,genus,49.40455083,-123.21111163,,,Ascomycota
3184574,2016-05-15T14:06:18-07:00,2016-05-15,rileypollom,Riley Pollom,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/3684850/square.jpeg,16,Caloscypha fulgens,Spring Orange Peel Fungus,false,153035,species,49.41533922,-123.20720112,,,Ascomycota
3184576,2016-05-15T14:44:24-07:00,2016-05-15,rileypollom,Riley Pollom,needs_id,false,https://inaturalist-open-data.s3.amazonaws.com/photos/3684869/square.jpeg,10,Pilophorus,Matchstick Lichens,false,128925,genus,49.42341842,-123.20671646,,,Ascomycota
3184582,2016-05-15T16:17:32-07:00,2016-05-15,rileypollom,Riley Pollom,needs_id,false,https://inaturalist-open-data.s3.amazonaws.com/photos/3684897/square.jpeg,14,Parmelia sulcata,shield lichen,false,54734,species,49.42000113,-123.20593203,,,Ascomycota
5948224,2014-05-30,2014-05-30,judithofsquamish,judith holm,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/7428613/square.jpeg,687,Cladonia bellidiflora,Toy Soldiers,false,123391,species,49.673116,-123.119488,,,Ascomycota
5971851,2014-10-07,2014-10-07,judithofsquamish,judith holm,research,false,https://inaturalist-open-data.s3.amazonaws.com/photos/7463029/square.jpeg,42,Chlorociboria,,false,54595,genus,49.670636,-123.130367,,,Ascomycota
