ID_NUMBER,LABEL_NAME,TAXON_LINK,IDENT,ID_DATE,TYPE_STATUS,HIGHER_TAXA,COUNT,SEX,COLL_NUM,COLLECTOR,PLACE_COLLECTED,DATE_COLLECTED,SPEC_NATURE,DESCRIPTION,ACQ_NUMBER,SITE_DESC,ALTITUDE,LAT_DD,LONG_DD,LAT_DMS,LONG_DMS,P/S,COORD_UNCERTAINTY,SITE NOTES,,,,,,,,,,,,,,,,,,
CMNC 1982-0567,Idotea (Pentidotea) wosnessenskii,Pentidotea wosnesenskii,"Rafi, Fahmida",, ,Animalia; Arthropoda; Crustacea; Malacostraca; Eumalacostraca; Peracarida; Isopoda; Valvifera; Idoteidae; Idotheinae; Pentidotea,2,adult male 1; adult female 1,760029,"O'Clair, Rita M.","North America: Canada, British Columbia, Vancouver I., Cowichan Land Distr., Virago Pt.",1976-06-20,fluid,,1976-171,"Galiano Island, Strait of Georgia",,49.010000,-123.580000,"49° 0' 36"" N","123° 35' 0"" W",S,,,,,,,,,,,,,,,,,,,,
CMNC 1982-0571,Idotea (Pentidotea) wosnessenskii,Pentidotea wosnesenskii,"Rafi, Fahmida",, ,Animalia; Arthropoda; Crustacea; Malacostraca; Eumalacostraca; Peracarida; Isopoda; Valvifera; Idoteidae; Idotheinae; Pentidotea,10,adult male 7; adult female 3,760028,"O'Clair, Rita M.","North America: Canada, British Columbia, Vancouver I., Cowichan Land Distr., Galiano I.",1976-06-20,fluid,,1976-171,"Strait of Georgia, Sturdies Bay, W of ferry dock; near Gulf Islands National Park Reserve",,48.880000,-123.320000,"48° 52' 36"" N","123° 19' 0"" W",P,,,,,,,,,,,,,,,,,,,,
CMNC 1984-0169,Idotea (Pentidotea) wosnessenskii,Pentidotea wosnesenskii,"Rafi, Fahmida",, ,Animalia; Arthropoda; Crustacea; Malacostraca; Eumalacostraca; Peracarida; Isopoda; Valvifera; Idoteidae; Idotheinae; Pentidotea,1,,760030,"O'Clair, Rita M.","North America: Canada, British Columbia, Cowichan Land Distr., Galiano I.",1976-06-20,fluid,,1976-171,"Strait of Georgia, Montague Harbour; near Gulf Islands National Park Reserve",,48.890000,-123.390000,"48° 53' 36"" N","123° 23' 30"" W",P,,,,,,,,,,,,,,,,,,,,
CMNC 1987-0102,Idotea (Pentidotea) wosnessenskii,Pentidotea wosnesenskii,"Rafi, Fahmida",, ,Animalia; Arthropoda; Crustacea; Malacostraca; Eumalacostraca; Peracarida; Isopoda; Valvifera; Idoteidae; Idotheinae; Pentidotea,2,male,,"McAllister, Donald E.; Yesaki, M.O.","North America: Canada, British Columbia, Cowichan Land Distr., Galiano I.",1960-12-22,fluid,,,"Strait of Georgia, Dionisio Pt., NE point of Galiano I.",,49.020000,-123.570000,"49° 1' 0"" N","123° 34' 0"" W",,,cover: moderate,,,,,,,,,,,,,,,,,,
CMNC 1987-0202,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,"Rafi, Fahmida",, ,Animalia; Arthropoda; Crustacea; Malacostraca; Eumalacostraca; Peracarida; Isopoda; Flabellifera; Sphaeromatidae; Gnorimosphaeroma,22,M17/F5,,"O'Clair, Rita M.","North America: Canada, British Columbia, Vancouver I., Cowichan Land Distr., Galiano I.",1976-06-20,fluid,,1976-171,"Strait of Georgia, Sturdies Bay, W of ferry dock; near Gulf Islands National Park Reserve",,48.880000,-123.320000,"48° 52' 36"" N","123° 19' 0"" W",P,,,,,,,,,,,,,,,,,,,,
CMNC 1987-0215,Gnorimosphaeroma oregonense,Gnorimosphaeroma oregonense,"Rafi, Fahmida",, ,Animalia; Arthropoda; Crustacea; Malacostraca; Eumalacostraca; Peracarida; Isopoda; Flabellifera; Sphaeromatidae; Gnorimosphaeroma,1,,,"O'Clair, Rita M.","North America: Canada, British Columbia, Vancouver I., Cowichan Land Distr., Galiano I.",1976-06-20,fluid,,1976-171,"Strait of Georgia, Sturdies Bay, W of ferry dock; near Gulf Islands National Park Reserve",,48.880000,-123.320000,"48° 52' 36"" N","123° 19' 0"" W",P,,,,,,,,,,,,,,,,,,,,
CMNC 2004-0232,Gnathopleustes pachychaetus,Gnathopleustes pachychaetus,"Hendrycks, Edward A.",, ,Animalia; Arthropoda; Crustacea; Malacostraca; Eumalacostraca; Peracarida; Amphipoda; Gammaridea; Leucothoidea; Pleustidae; Gnathopleustes,10,,760028,"O'Clair, Rita M.","North America: Canada, British Columbia, Vancouver I., Cowichan Land Distr., Galiano I.",1976-06-20,fluid,,1976-171,"Strait of Georgia, Sturdies Bay, W of ferry dock; near Gulf Islands National Park Reserve",,48.880000,-123.320000,"48° 52' 36"" N","123° 19' 0"" W",P,,,,,,,,,,,,,,,,,,,,
CMNC 2004-3197,Idotea (Pentidotea) wosnessenskii,Pentidotea wosnesenskii,"Rafi, Fahmida",, ,Animalia; Arthropoda; Crustacea; Malacostraca; Eumalacostraca; Peracarida; Isopoda; Valvifera; Idoteidae; Idotheinae; Pentidotea,1,,760030,"O'Clair, Rita M.","North America: Canada, British Columbia, Cowichan Land Distr., Galiano I.",1976-06-20,fluid,,1976-171,"Strait of Georgia, Montague Harbour; near Gulf Islands National Park Reserve",,48.890000,-123.390000,"48° 53' 36"" N","123° 23' 30"" W",P,,,,,,,,,,,,,,,,,,,,
CMNC 2004-3237,Heptacarpus brevirostris,Heptacarpus brevirostris,"Price, Judith C.",1981-12-02,,Animalia; Arthropoda; Crustacea; Malacostraca; Eumalacostraca; Eucarida; Decapoda; Pleocyemata; Caridea; Alpheoidea; Hippolytidae; Heptacarpus,1,,760029,"O'Clair, Rita M.","North America: Canada, British Columbia, Cowichan Land Distr., Virago Pt.",1976-06-20,fluid,,1976-171,"Galiano Island, Strait of Georgia",,49.010000,-123.580000,"49° 0' 36"" N","123° 35' 0"" W",S,,,,,,,,,,,,,,,,,,,,
CMNC 2006-0611,Abludomelita californica,Desdimelita californica,,, ,Animalia; Arthropoda; Crustacea; Malacostraca; Eumalacostraca; Peracarida; Amphipoda; Gammaridea; Hadzioidea; Melitidae; Desdimelita,20,,760029,"O'Clair, Rita M.","North America: Canada, British Columbia, Cowichan Land Distr., Virago Pt.",1976-06-20,fluid,,1976-171,"Galiano Island, Strait of Georgia",,49.010000,-123.580000,"49° 0' 36"" N","123° 35' 0"" W",S,,,,,,,,,,,,,,,,,,,,
CMNC 2007-0102,Desdimelita microdentata,Desdimelita microdentata,"Jarrett, Norma E.",, ,Animalia; Arthropoda; Crustacea; Malacostraca; Eumalacostraca; Peracarida; Amphipoda; Gammaridea; Hadzioidea; Melitidae; Desdimelita,6,M/F,760029,"O'Clair, Rita M.","North America: Canada, British Columbia, Cowichan Land Distr., Virago Pt.",1976-06-20,fluid,,1976-171,"Galiano Island, Strait of Georgia",,49.010000,-123.580000,"49° 0' 36"" N","123° 35' 0"" W",S,,,,,,,,,,,,,,,,,,,,
CMNFI 1960-0499C.1,Oligocottus maculosus,Oligocottus maculosus,,, ,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Scorpaeniformes; Cottoidei; Cottidae; Oligocottus,32,,,"McAllister, Donald E.; Yesaki, M.O.","North America: Canada, British Columbia, Cowichan Land Distr., Galiano I.",1960-12-22,fluid,,,"Strait of Georgia, Dionisio Pt., NE point of Galiano I.",,49.020000,-123.570000,"49° 1' 0"" N","123° 34' 0"" W",,,cover: moderate,,,,,,,,,,,,,,,,,,
CMNFI 1960-0499C.2,Phytichthys chirus,Phytichthys chirus,,, ,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Perciformes; Zoarcoidei; Stichaeoidea; Stichaeidae; Xiphisterinae; Phytichthys,1,,,"McAllister, Donald E.; Yesaki, M.O.","North America: Canada, British Columbia, Cowichan Land Distr., Galiano I.",1960-12-22,fluid,,,"Strait of Georgia, Dionisio Pt., NE point of Galiano I.",,49.020000,-123.570000,"49° 1' 0"" N","123° 34' 0"" W",,,cover: moderate,,,,,,,,,,,,,,,,,,
CMNFI 1968-1875.1,Trachipterus altivelis,Trachipterus altivelis,,, ,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Lampridiomorpha; Lampridiformes; Trachipteroidei; Trachipteridae; Trachipterus,1,,,"Argue, A.W.","North America: Canada, British Columbia, Cowichan Land Distr.",1965-08-21,fluid,,1967-374,"Active Pass, Western end; South of Galiano I. and North of Mayne I.; SE off Vancouver I. Gulf Islands National Park Reserve.",,48.860000,-123.330000,"48° 51' 30"" N","123° 20' 0"" W",,,,,,,,,,,,,,,,,,,,,
CMNFI 1985-0086.1,Embiotoca lateralis,Embiotoca lateralis,,, ,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Perciformes; Labroidei; Embiotocidae; Embiotoca,3,,,"Kasserra, Claudia E.","North America: Canada, British Columbia, Renfrew Land Distr.",1982-06-08; time: 20:00; duration: 14 h,small jar,,1984-086,"Strait of Georgia, Montague Harbour, Southwest of Galiano Island, Southeast of Vancouver Island",0 m,48.880000,-123.430000,"48° 53' 0"" N","123° 26' 0"" W",P,,"Habitat remarks: Tide zone qual.: Mid; Water qual.: Clear & colorle; Current: Medium Shore: Floating, Shore forested; Covert: None; Ice ext.: None; Weather: sunny, calm; Salinity: Salt; Exposure: Exposed",,,,,,,,,,,,,,,,,,
CMNFI 1985-0086.2,Sebastes maliger,Sebastes maliger,,, ,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Scorpaeniformes; Sebastidae; Sebastes,1,,,"Kasserra, Claudia E.","North America: Canada, British Columbia, Renfrew Land Distr.",1982-06-08; time: 20:00; duration: 14 h,small jar,,1984-086,"Strait of Georgia, Montague Harbour, Southwest of Galiano Island, Southeast of Vancouver Island",0 m,48.880000,-123.430000,"48° 53' 0"" N","123° 26' 0"" W",P,,"Habitat remarks: Tide zone qual.: Mid; Water qual.: Clear & colorle; Current: Medium Shore: Floating, Shore forested; Covert: None; Ice ext.: None; Weather: sunny, calm; Salinity: Salt; Exposure: Exposed",,,,,,,,,,,,,,,,,,
CMNFI 1985-0086.3,Sebastes ruberrimus,Sebastes ruberrimus,"Coad, Brian W.",1985-06,,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Scorpaeniformes; Sebastidae; Sebastes,2,,,"Kasserra, Claudia E.","North America: Canada, British Columbia, Renfrew Land Distr.",1982-06-08; time: 20:00; duration: 14 h,small jar,,1984-086,"Strait of Georgia, Montague Harbour, Southwest of Galiano Island, Southeast of Vancouver Island",0 m,48.880000,-123.430000,"48° 53' 0"" N","123° 26' 0"" W",P,,"Habitat remarks: Tide zone qual.: Mid; Water qual.: Clear & colorle; Current: Medium Shore: Floating, Shore forested; Covert: None; Ice ext.: None; Weather: sunny, calm; Salinity: Salt; Exposure: Exposed",,,,,,,,,,,,,,,,,,
CMNFI 1985-0086.4,Hexagrammos decagrammus,Hexagrammos decagrammus,,, ,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Scorpaeniformes; Hexagrammoidei; Hexagrammidae; Hexagrammos,3,,,"Kasserra, Claudia E.","North America: Canada, British Columbia, Renfrew Land Distr.",1982-06-08; time: 20:00; duration: 14 h,2-5 gal jar,,1984-086,"Strait of Georgia, Montague Harbour, Southwest of Galiano Island, Southeast of Vancouver Island",0 m,48.880000,-123.430000,"48° 53' 0"" N","123° 26' 0"" W",P,,"Habitat remarks: Tide zone qual.: Mid; Water qual.: Clear & colorle; Current: Medium Shore: Floating, Shore forested; Covert: None; Ice ext.: None; Weather: sunny, calm; Salinity: Salt; Exposure: Exposed",,,,,,,,,,,,,,,,,,
CMNFI 1985-0086.5,Squalus acanthias,Squalus acanthias,"Kasserra, C.E.",1985-06,,Animalia; Chordata; Vertebrata; Gnathostomata; Chondrichthyes; Elasmobranchii; Selachimorpha; Squaliformes; Squalidae; Squalus,5,,,"Kasserra, Claudia E.","North America: Canada, British Columbia, Renfrew Land Distr.",1982-06-08; time: 20:00; duration: 14 h,fluid,,1984-086,"Strait of Georgia, Montague Harbour, Southwest of Galiano Island, Southeast of Vancouver Island",0 m,48.880000,-123.430000,"48° 53' 0"" N","123° 26' 0"" W",P,,"Habitat remarks: Tide zone qual.: Mid; Water qual.: Clear & colorle; Current: Medium Shore: Floating, Shore forested; Covert: None; Ice ext.: None; Weather: sunny, calm; Salinity: Salt; Exposure: Exposed",,,,,,,,,,,,,,,,,,
CMNFI 1985-0087.1,Cymatogaster aggregata,Cymatogaster aggregata,,, ,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Perciformes; Labroidei; Embiotocidae; Cymatogaster,15,,,"Genereux, K.D.","North America: Canada, British Columbia, Renfrew Land Distr.",1982-06-09; time: 16:30; duration: 18 min,small jar,,1984-086,"Strait of Georgia, Southwest of Galiano Island, Southeast of Vancouver Island",,48.880000,-123.430000,"48° 52' 50"" N","123° 26' 0"" W",P,,"Habitat remarks: Tide zone qual.: Mid; Water qual.: Cloudy, Muddy; Current: Still Shore: Foliose, Floating, Shore bushy; Covert: None; Ice ext.: None; Weather: sunny, clear; Salinity: Salt; Exposure: Protected",,,,,,,,,,,,,,,,,,
CMNFI 1985-0087.2,Hexagrammos stelleri,Hexagrammos stelleri,"Peden, Alex E.",1987-06,,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Scorpaeniformes; Hexagrammoidei; Hexagrammidae; Hexagrammos,1,,,"Genereux, K.D.","North America: Canada, British Columbia, Renfrew Land Distr.",1982-06-09; time: 16:30; duration: 18 min,small jar,,1984-086,"Strait of Georgia, Southwest of Galiano Island, Southeast of Vancouver Island",,48.880000,-123.430000,"48° 52' 50"" N","123° 26' 0"" W",P,,"Habitat remarks: Tide zone qual.: Mid; Water qual.: Cloudy, Muddy; Current: Still Shore: Foliose, Floating, Shore bushy; Covert: None; Ice ext.: None; Weather: sunny, clear; Salinity: Salt; Exposure: Protected",,,,,,,,,,,,,,,,,,
CMNFI 1985-0087.3,Leptocottus armatus,Leptocottus armatus,,, ,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Scorpaeniformes; Cottoidei; Cottidae; Leptocottus,1,,,"Genereux, K.D.","North America: Canada, British Columbia, Renfrew Land Distr.",1982-06-09; time: 16:30; duration: 18 min,small jar,,1984-086,"Strait of Georgia, Southwest of Galiano Island, Southeast of Vancouver Island",,48.880000,-123.430000,"48° 52' 50"" N","123° 26' 0"" W",P,,"Habitat remarks: Tide zone qual.: Mid; Water qual.: Cloudy, Muddy; Current: Still Shore: Foliose, Floating, Shore bushy; Covert: None; Ice ext.: None; Weather: sunny, clear; Salinity: Salt; Exposure: Protected",,,,,,,,,,,,,,,,,,
CMNFI 1985-0087.4,Myoxocephalus polyacanthocephalus,Myoxocephalus polyacanthocephalus,,, ,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Scorpaeniformes; Cottoidei; Cottidae; Myoxocephalus,1,,,"Genereux, K.D.","North America: Canada, British Columbia, Renfrew Land Distr.",1982-06-09; time: 16:30; duration: 18 min,"small jar, adult",,1984-086,"Strait of Georgia, Southwest of Galiano Island, Southeast of Vancouver Island",,48.880000,-123.430000,"48° 52' 50"" N","123° 26' 0"" W",P,,"Habitat remarks: Tide zone qual.: Mid; Water qual.: Cloudy, Muddy; Current: Still Shore: Foliose, Floating, Shore bushy; Covert: None; Ice ext.: None; Weather: sunny, clear; Salinity: Salt; Exposure: Protected",,,,,,,,,,,,,,,,,,
CMNFI 1985-0087.5,Apodichthys flavidus,Apodichthys flavidus,,, ,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Perciformes; Zoarcoidei; Stichaeoidea; Pholidae; Apodichthyinae; Apodichthys,1,,,"Genereux, K.D.","North America: Canada, British Columbia, Renfrew Land Distr.",1982-06-09; time: 16:30; duration: 18 min,small jar,,1984-086,"Strait of Georgia, Southwest of Galiano Island, Southeast of Vancouver Island",,48.880000,-123.430000,"48° 52' 50"" N","123° 26' 0"" W",P,,"Habitat remarks: Tide zone qual.: Mid; Water qual.: Cloudy, Muddy; Current: Still Shore: Foliose, Floating, Shore bushy; Covert: None; Ice ext.: None; Weather: sunny, clear; Salinity: Salt; Exposure: Protected",,,,,,,,,,,,,,,,,,
CMNFI 1985-0087.6,Pholis laeta,Pholis laeta,,, ,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Perciformes; Zoarcoidei; Stichaeoidea; Pholidae; Pholidinae; Pholis,1,,,"Genereux, K.D.","North America: Canada, British Columbia, Renfrew Land Distr.",1982-06-09; time: 16:30; duration: 18 min,small jar,,1984-086,"Strait of Georgia, Southwest of Galiano Island, Southeast of Vancouver Island",,48.880000,-123.430000,"48° 52' 50"" N","123° 26' 0"" W",P,,"Habitat remarks: Tide zone qual.: Mid; Water qual.: Cloudy, Muddy; Current: Still Shore: Foliose, Floating, Shore bushy; Covert: None; Ice ext.: None; Weather: sunny, clear; Salinity: Salt; Exposure: Protected",,,,,,,,,,,,,,,,,,
CMNFI 1985-0088.1,Parophrys vetulus,Parophrys vetulus,,, ,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Pleuronectiformes; Pleuronectoidei; Pleuronectidae; Pleuronectinae; Parophrys,2,,,"Ellis, J.M.","North America: Canada, British Columbia, Renfrew Land Distr.",1982-06-09; time: 17:00; duration: 18 min,small jar,,1984-086,"Strait of Georgia, Southwest of Galiano Island, Southeast of Vancouver Island",,48.880000,-123.330000,"48° 52' 50"" N","123° 20' 0"" W",P,,"Habitat remarks: Tide zone qual.: Mid; Water qual.: Clear & colorle; Current: Still Shore: Foliose, Floating, Shore forested; Covert: None; Ice ext.: None; Weather: sunny, calm; Salinity: Salt; Exposure: Semi-protected",,,,,,,,,,,,,,,,,,
CMNFI 1985-0088.2,Platichthys stellatus,Platichthys stellatus,,, ,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Pleuronectiformes; Pleuronectoidei; Pleuronectidae; Pleuronectinae; Platichthys,2,,,"Ellis, J.M.","North America: Canada, British Columbia, Renfrew Land Distr.",1982-06-09; time: 17:00; duration: 18 min,small jar,,1984-086,"Strait of Georgia, Southwest of Galiano Island, Southeast of Vancouver Island",,48.880000,-123.330000,"48° 52' 50"" N","123° 20' 0"" W",P,,"Habitat remarks: Tide zone qual.: Mid; Water qual.: Clear & colorle; Current: Still Shore: Foliose, Floating, Shore forested; Covert: None; Ice ext.: None; Weather: sunny, calm; Salinity: Salt; Exposure: Semi-protected",,,,,,,,,,,,,,,,,,
CMNFI 1985-0088.3,Leptocottus armatus,Leptocottus armatus,,, ,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Scorpaeniformes; Cottoidei; Cottidae; Leptocottus,24,,,"Ellis, J.M.","North America: Canada, British Columbia, Renfrew Land Distr.",1982-06-09; time: 17:00; duration: 18 min,small jar,,1984-086,"Strait of Georgia, Southwest of Galiano Island, Southeast of Vancouver Island",,48.880000,-123.330000,"48° 52' 50"" N","123° 20' 0"" W",P,,"Habitat remarks: Tide zone qual.: Mid; Water qual.: Clear & colorle; Current: Still Shore: Foliose, Floating, Shore forested; Covert: None; Ice ext.: None; Weather: sunny, calm; Salinity: Salt; Exposure: Semi-protected",,,,,,,,,,,,,,,,,,
CMNFI 1985-0088.4,Oligocottus maculosus,Oligocottus maculosus,"Coad, Brian W.",1985-03,,Animalia; Chordata; Vertebrata; Gnathostomata; Actinopterygii; Neopterygii; Teleostei; Acanthopterygii; Scorpaeniformes; Cottoidei; Cottidae; Oligocottus,39,,,"Ellis, J.M.","North America: Canada, British Columbia, Renfrew Land Distr.",1982-06-09; time: 17:00; duration: 18 min,small jar,,1984-086,"Strait of Georgia, Southwest of Galiano Island, Southeast of Vancouver Island",,48.880000,-123.330000,"48° 52' 50"" N","123° 20' 0"" W",P,,"Habitat remarks: Tide zone qual.: Mid; Water qual.: Clear & colorle; Current: Still Shore: Foliose, Floating, Shore forested; Covert: None; Ice ext.: None; Weather: sunny, calm; Salinity: Salt; Exposure: Semi-protected",,,,,,,,,,,,,,,,,,
CMNI 1900-1132,Clytia gregaria,Clytia gregaria,"Frank, Peter G.",1976,,Animalia; Cnidaria; Hydrozoa; Hydroidolina; Leptothecata; Campanulariidae; Clytia,1,,760030,"O'Clair, Rita M.","North America: Canada, British Columbia, Cowichan Land Distr., Galiano I.",1976-06-20,fluid,,1976-171,"Strait of Georgia, Montague Harbour; near Gulf Islands National Park Reserve",,48.890000,-123.390000,"48° 53' 36"" N","123° 23' 30"" W",P,,,,,,,,,,,,,,,,,,,,
CMNI 1989-0211,Corella willmeriana,Corella willmeriana,"Frank, Peter G.",1976,,Animalia; Chordata; Tunicata; Ascidiacea; Phlebobranchia; Corellidae; Corella,1,,760029,"O'Clair, Rita M.","North America: Canada, British Columbia, Cowichan Land Distr., Virago Pt.",1976-06-20,fluid,,1976-171,"Galiano Island, Strait of Georgia",,49.010000,-123.580000,"49° 0' 36"" N","123° 35' 0"" W",S,,,,,,,,,,,,,,,,,,,,
CMNI 2012-0074,Chelophyes appendiculata,Chelophyes appendiculata,"Foerster, Russell Earle",, ,Animalia; Cnidaria; Hydrozoa; Hydroidolina; Siphonophorae; Diphyidae; Chelophyes,1,,,"Fisheries Research Board of Canada, Nanaimo",Pacific Ocean: Strait of Georgia,1928-11-09,fluid,,A2012.0035,Stn. 1303 SE of Galiano Island,,48.870000,-123.270000,48° 52' N,123° 16' W,S,,,,,,,,,,,,,,,,,,,,
