regionField,id,label
US Ecoregions Level IV,16,4f. Low Southern Cascades Mixed Conifer Forest
US Ecoregions Level IV,17,9c. Oak/Conifer Foothills
US Ecoregions Level IV,18,9b. Grand Fir Mixed Forest
US Ecoregions Level IV,19,9d. Ponderosa Pine/Bitterbrush Woodland
US Ecoregions Level IV,20,9e. Pumice Plateau
US Ecoregions Level IV,21,9f. Pumice Plateau Basins
US Ecoregions Level IV,22,9g. Klamath/Goose Lake Basins
US Ecoregions Level IV,23,9h. Fremont Pine/Fir Forest
US Ecoregions Level IV,24,9i. Southern Cascades Slope
US Ecoregions Level IV,25,9j. Klamath Juniper Woodland/Devils Garden
US Ecoregions Level IV,26,9t. Old Cascades
US Ecoregions Level IV,27,9m. Warner Mountains
US Ecoregions Level IV,28,10a. Channeled Scablands
US Ecoregions Level IV,29,10e. Pleistocene Lake Basins
US Ecoregions Level IV,30,10f. Dissected Loess Uplands
US Ecoregions Level IV,31,10c. Umatilla Plateau
US Ecoregions Level IV,32,10g. Yakima Folds
US Ecoregions Level IV,33,10i. Deep Loess Foothills
US Ecoregions Level IV,34,10k. Deschutes/John Day Canyons
US Ecoregions Level IV,35,10n. Umatilla Dissected Uplands
US Ecoregions Level IV,36,11g. Canyons and Dissected Uplands
US Ecoregions Level IV,37,11i. Continental Zone Foothills
US Ecoregions Level IV,38,11a. John Day/Clarno Uplands
US Ecoregions Level IV,39,11b. John Day/Clarno Highlands
US Ecoregions Level IV,40,11c. Maritime-Influenced Zone
US Ecoregions Level IV,41,11d. Melange
US Ecoregions Level IV,42,11e. Wallowas/Seven Devils Mountains
US Ecoregions Level IV,43,11f. Canyons and Dissected Highlands
US Ecoregions Level IV,44,11h. Continental Zone Highlands
US Ecoregions Level IV,45,11k. Blue Mountain Basins
US Ecoregions Level IV,46,11l. Mesic Forest Zone
US Ecoregions Level IV,47,11m. Subalpine-Alpine Zone
US Ecoregions Level IV,48,11n. Deschutes River Valley
US Ecoregions Level IV,49,11o. Cold Basins
US Ecoregions Level IV,50,12a. Treasure Valley
US Ecoregions Level IV,51,12j. Unwooded Alkaline Foothills
US Ecoregions Level IV,52,15y. Selkirk Mountains
US Ecoregions Level IV,53,77h. Chiwaukum Hills and Lowlands
US Ecoregions Level IV,54,78a. Rogue/Illinois/Scott Valleys
US Ecoregions Level IV,55,78b. Oak Savanna Foothills
US Ecoregions Level IV,56,78c. Umpqua Interior Foothills
US Ecoregions Level IV,57,78d. Serpentine Siskiyous
US Ecoregions Level IV,58,78e. Inland Siskiyous
US Ecoregions Level IV,59,78f. Coastal Siskiyous
US Ecoregions Level IV,60,78h. Border High-Siskiyous
US Ecoregions Level IV,61,78g. Klamath River Ridges
US Ecoregions Level IV,62,78i. Western Klamath Low Elevation Forests
US Ecoregions Level IV,63,80a. Dissected High Lava Plateau
US Ecoregions Level IV,64,80d. Pluvial Lake Basins
US Ecoregions Level IV,65,80e. High Desert Wetlands
US Ecoregions Level IV,66,80f. Owyhee Uplands and Canyons
US Ecoregions Level IV,67,80g. High Lava Plains
US Ecoregions Level IV,68,80j. Semiarid Uplands
US Ecoregions Level IV,69,80k. Partly Forested Mountains
US Ecoregions Level IV,70,80l. Salt Shrub Valleys
US Ecoregions Level IV,71,80m. Barren Playas
US Ecoregions Level III,1,1. Coast Range
US Ecoregions Level III,2,3. Willamette Valley
US Ecoregions Level III,3,4. Cascades
US Ecoregions Level III,4,9. Eastern Cascades Slopes and Foothills
US Ecoregions Level III,5,10. Columbia Plateau
US Ecoregions Level III,6,11. Blue Mountains
US Ecoregions Level III,7,12. Snake River Plain
US Ecoregions Level III,8,15. Northern Rockies
US Ecoregions Level III,9,77. North Cascades
US Ecoregions Level III,10,78. Klamath Mountains/California High North Coast Range
US Ecoregions Level III,11,80. Northern Basin and Range
Columbia Land Trust Boundaries,1,Rainbow Farms
Columbia Land Trust Boundaries,2,Mill Creek Ridge
Columbia Land Trust Boundaries,3,Four Sisters
Deschutes Land Trust Preserves Easements,1,Camp Polk Meadow Preserve
Deschutes Land Trust Preserves Easements,2,Metolius Preserve
Deschutes Land Trust Preserves Easements,3,Whychus Canyon Preserve addition
Deschutes Land Trust Preserves Easements,4,Whychus Canyon Preserve
Deschutes Land Trust Preserves Easements,5,Priday Ranch
GreenBelt Land Trust Land Holdings,1,Evergreen
GreenBelt Land Trust Land Holdings,2,Bald Hill Farm-BPA
GreenBelt Land Trust Land Holdings,3,Bald Hill Farm-OWEB
GreenBelt Land Trust Land Holdings,4,Luckiamute Meadows
GreenBelt Land Trust Land Holdings,5,Kingston Prairie Fee
BLM National Monuments,1,Steens Mountain Cooperative Management and Protection Area
BLM National Monuments,2,Cascade-Siskiyou National Monument
National Park Service Park Boundaries,1,John Day Fossil Beds National Monument
National Park Service Park Boundaries,2,Crater Lake National Park
National Park Service Park Boundaries,3,Oregon Caves National Monument and Preserve
National Wildlife Refuge Boundaries,1,Ankeny National Wildlife Refuge
National Wildlife Refuge Boundaries,2,Bandon Marsh National Wildlife Refuge
National Wildlife Refuge Boundaries,3,Hart Mountain National Antelope Refuge
National Wildlife Refuge Boundaries,4,Klamath Marsh National Wildlife Refuge
National Wildlife Refuge Boundaries,5,Lower Klamath National Wildlife Refuge
National Wildlife Refuge Boundaries,6,Malheur National Wildlife Refuge
National Wildlife Refuge Boundaries,7,Mckay Creek National Wildlife Refuge
National Wildlife Refuge Boundaries,8,Nestucca Bay National Wildlife Refuge
National Wildlife Refuge Boundaries,9,Oregon Islands National Wildlife Refuge
National Wildlife Refuge Boundaries,10,Umatilla National Wildlife Refuge
National Wildlife Refuge Boundaries,11,Upper Klamath National Wildlife Refuge
National Wildlife Refuge Boundaries,12,William L. Finley National Wildlife Refuge
Columbia River Gorge National Scenic Area Boundary,1,Columbia River Gorge National Scenic Area
Pine Creek Conservation Area,1,Pine Creek Outer Boundary
SOLC Owned Properties,1,Rogue River Preserve
SOLC Owned Properties,2,Whetstone Savanna Preserve
SOLC Owned Properties,3,Agate Desert Preserve
Oregon State Parks,1,Rough and Ready
Oregon State Parks,2,Elk Creek Tunnel Forest
Oregon State Parks,3,Ellmaker
Oregon State Parks,4,Emigrant Springs
Oregon State Parks,5,Peter Skene Ogden
Oregon State Parks,6,Oceanside Beach
Oregon State Parks,7,J.S. Burres
Oregon State Parks,8,Carl G. Washburne
Oregon State Parks,9,Heceta Head Lighthouse
Oregon State Parks,10,Farewell Bend
Oregon State Parks,11,William M. Tugman
Oregon State Parks,12,Elijah Bristow
Oregon State Parks,13,The Cove Palisades
Oregon State Parks,14,Cline Falls
Oregon State Parks,15,Sidney Access
Oregon State Parks,16,Battle Mountain Forest
Oregon State Parks,17,Blue Mountain Forest
Oregon State Parks,18,Prineville Reservoir
Oregon State Parks,19,Golden and Silver Falls
Oregon State Parks,20,Pengra Access
Oregon State Parks,21,Saddle Mountain
Oregon State Parks,22,Oswald West
Oregon State Parks,23,Tou Velle
Oregon State Parks,24,Jessie M. Honeyman
Oregon State Parks,25,Cape Blanco
Oregon State Parks,26,Pilot Butte
Oregon State Parks,27,H.B. Van Duzer Forest
Oregon State Parks,28,Bob Straub
Oregon State Parks,29,Mayer
Oregon State Parks,30,Yachats
Oregon State Parks,31,Memaloose
Oregon State Parks,32,John Yeon
Oregon State Parks,33,White River Falls
Oregon State Parks,34,Illinois River Forks
Oregon State Parks,35,Molalla River
Oregon State Parks,36,Champoeg
Oregon State Parks,37,Tumalo
Oregon State Parks,38,Willamette Mission
Oregon State Parks,39,Umpqua Lighthouse
Oregon State Parks,40,Cape Lookout
Oregon State Parks,41,Brian Booth
Oregon State Parks,42,Deschutes River
Oregon State Parks,43,Fort Stevens
Oregon State Parks,44,Goose Lake
Oregon State Parks,45,Historic Columbia River Highway
Oregon State Parks,46,Lake Owyhee
Oregon State Parks,47,Luckiamute
Oregon State Parks,48,Succor Creek
Oregon State Parks,49,Rooster Rock
Oregon State Parks,50,Cottonwood Canyon
Oregon State Parks,51,Hug Point
Oregon State Parks,52,Booth
Oregon State Parks,53,Ukiah-Dale Forest
Oregon State Parks,54,Ochoco
Oregon State Parks,55,Parrett Mountain Access
Oregon State Parks,56,Driftwood Beach
Oregon State Parks,57,Arizona Beach
Oregon State Parks,58,Silver Falls
Oregon State Parks,59,Del Rey Beach
Oregon State Parks,60,Harris Beach
Oregon State Parks,61,Devil's Lake
Oregon State Parks,62,Gleneden Beach
Oregon State Parks,63,Clay Myers
Oregon State Parks,64,Shore Acres
Oregon State Parks,65,Humbug Mountain
Oregon State Parks,66,Port Orford Heads
Oregon State Parks,67,Paradise Point
Oregon State Parks,68,Yaquina Bay
Oregon State Parks,69,Fort Rock
Oregon State Parks,70,Pistol River
Oregon State Parks,71,Samuel H. Boardman
Oregon State Parks,72,Cape Sebastian
Oregon State Parks,73,McVay Rock
Oregon State Parks,74,Boiler Bay
Oregon State Parks,75,Otter Crest
Oregon State Parks,76,Crissey Field
Oregon State Parks,77,Sarah Helmick
Oregon State Parks,78,Nehalem Bay
Oregon State Parks,79,Wallowa Lake
Oregon State Parks,80,Smith Rock
Oregon State Parks,81,South Beach
Oregon State Parks,82,Minam
Oregon State Parks,83,Sitka Sedge
Oregon State Parks,84,Unity Forest
Oregon State Parks,85,Otter Point
Oregon State Parks,86,Hilgard Junction
Oregon State Parks,87,Tryon Creek
TNC OSU Research Permit Lands,1,Camassia
TNC OSU Research Permit Lands,2,Tom Mccall At Rowena
TNC OSU Research Permit Lands,3,Sycan Marsh
TNC OSU Research Permit Lands,4,Zumwalt Prairie
TNC OSU Research Permit Lands,5,Cascade Head
TNC OSU Research Permit Lands,6,Table Rocks
Pine Creek Outer Boundary,1,Pine Creek Outer Boundary
Warm Springs Boundary,1,Warm Springs Reservation
USA Counties,1,Del Norte County
USA Counties,2,Modoc County
USA Counties,3,Siskiyou County
USA Counties,4,Washington County
USA Counties,5,Humboldt County
USA Counties,6,Baker County
USA Counties,7,Benton County
USA Counties,8,Clackamas County
USA Counties,9,Clatsop County
USA Counties,10,Columbia County
USA Counties,11,Coos County
USA Counties,12,Crook County
USA Counties,13,Curry County
USA Counties,14,Deschutes County
USA Counties,15,Douglas County
USA Counties,16,Gilliam County
USA Counties,17,Grant County
USA Counties,18,Harney County
USA Counties,19,Hood River County
USA Counties,20,Jackson County
USA Counties,21,Jefferson County
USA Counties,22,Josephine County
USA Counties,23,Klamath County
USA Counties,24,Lake County
USA Counties,25,Lane County
USA Counties,26,Lincoln County
USA Counties,27,Linn County
USA Counties,28,Malheur County
USA Counties,29,Marion County
USA Counties,30,Morrow County
USA Counties,31,Multnomah County
USA Counties,32,Polk County
USA Counties,33,Sherman County
USA Counties,34,Tillamook County
USA Counties,35,Umatilla County
USA Counties,36,Union County
USA Counties,37,Wallowa County
USA Counties,38,Wasco County
USA Counties,39,Wheeler County
USA Counties,40,Yamhill County
USA Counties,41,Asotin County
USA Counties,42,Chelan County
USA Counties,43,Clark County
USA Counties,44,Cowlitz County
USA Counties,45,Grays Harbor County
USA Counties,46,Kittitas County
USA Counties,47,Klickitat County
USA Counties,48,Pend Oreille County
USA Counties,49,Walla Walla County
Forest Service National Forest Boundaries,1,Klamath National Forest
Forest Service National Forest Boundaries,2,Six Rivers National Forest
Forest Service National Forest Boundaries,3,Deschutes National Forest
Forest Service National Forest Boundaries,4,Fremont-Winema National Forest
Forest Service National Forest Boundaries,5,Malheur National Forest
Forest Service National Forest Boundaries,6,Mt. Hood National Forest
Forest Service National Forest Boundaries,7,Ochoco National Forest
Forest Service National Forest Boundaries,8,Rogue River-Siskiyou National Forests
Forest Service National Forest Boundaries,9,Siuslaw National Forest
Forest Service National Forest Boundaries,10,Umatilla National Forest
Forest Service National Forest Boundaries,11,Umpqua National Forest
Forest Service National Forest Boundaries,12,Wallowa-Whitman National Forest
Forest Service National Forest Boundaries,13,Okanogan-Wenatchee National Forest
Forest Service National Forest Boundaries,14,Willamette National Forest
Forest Service National Forest Boundaries,15,Colville National Forest
Forest Service National Forest Boundaries,16,Columbia River Gorge National Scenic Area
